id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
197372,暗魔领主,"['Roguelike', 'ARPG', '动作', '暗黑', '冒险']","[{'type': 'author', 'name': '傲人游戏'}, {'type': 'publisher', 'name': '上海奔传网络科技有限公司'}]",,,11022,"{'1': 844, '2': 472, '3': 1040, '4': 1994, '5': 6987}",[]
227885,寻还,"['像素', 'Roguelike', '单机', '竖屏', '塔防', '策略']","[{'type': 'author', 'name': '没钳工作室'}]",,,6734,"{'1': 112, '2': 55, '3': 143, '4': 287, '5': 1543}",[]
176192,灵魂宝戒,"['策略', '卡牌', '冒险', 'dbg', 'Roguelike']","[{'type': 'publisher', 'name': '深圳市探娱互动科学文化有限公司'}, {'type': 'author', 'name': '工头网络'}]",,,15356,"{'1': 650, '2': 495, '3': 3055, '4': 14576, '5': 26720}",[]
172215,穿梭物语,"['Roguelike', '动作', '射击', '单机', '像素', '竖屏', '独立游戏', '弹幕']","[{'type': 'publisher', 'name': '扑家工作室'}, {'type': 'author', 'name': 'ilili_barcode'}]",,,14042,"{'1': 42, '2': 16, '3': 65, '4': 290, '5': 1583}",[]
224442,冒险之心（测试服）,"['Roguelike', '冒险', '单机']","[{'type': 'developer', 'name': '空想工作室'}]",,,0,"{'1': 118, '2': 42, '3': 100, '4': 93, '5': 110}",[]
230720,未知：升变,"['动作', '生存', '国风', 'Roguelike']","[{'type': 'developer', 'name': '未知之人'}]",,,0,"{'1': 746, '2': 351, '3': 632, '4': 831, '5': 1840}",[]
231197,浣熊不高兴,"['Roguelike', '卡通', '动作']","[{'type': 'developer', 'name': '心动'}]",,,0,"{'1': 508, '2': 403, '3': 1082, '4': 1852, '5': 2853}",[]
67396,失落城堡,"['Roguelike', 'Steam移植', '地牢', '动作', '冒险', '独立游戏', '合作', 'UP主推荐', '内购解锁']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': 'Hunter Studio'}]",,,125732,"{'1': 3327, '2': 1565, '3': 4441, '4': 13277, '5': 41399}",[]
235648,勇者活下去（测试服）,"['休闲', '像素', 'Roguelike', '魔性']","[{'type': 'author', 'name': '种子引擎'}]",,,0,"{'1': 158, '2': 88, '3': 110, '4': 63, '5': 140}",[]
77796,我的勇者,"['角色扮演', '像素', 'Roguelike', '地牢', '冒险', '多人联机', '弹幕', 'UP主推荐', '射击']","[{'type': 'developer', 'name': '魔力数娱'}]",,,35290,"{'1': 7238, '2': 3375, '3': 4070, '4': 3121, '5': 6086}",[]
58885,月圆之夜,"['卡牌', '单机', 'Roguelike', '策略', '独立游戏', '竖屏', '冒险', '童话', 'UP主推荐', '多结局', '手绘']","[{'type': 'publisher', 'name': '巨人网络'}, {'type': 'author', 'name': '滴答工作室'}]",,,181244,"{'1': 2095, '2': 814, '3': 2658, '4': 7842, '5': 58692}",[]
229870,枪火重生,"['Steam移植', '内购解锁', '射击', 'Roguelike', '动作']","[{'type': 'developer', 'name': '多益网络有限公司'}]",,,1057,"{'1': 1931, '2': 691, '3': 626, '4': 821, '5': 2453}",[]
171015,重生细胞,"['动作', 'Roguelike', 'Steam移植', '单机', '移植', '像素', '横版', '地牢', '收集', '2D', '独立游戏', '高难度', '打击感', '角色扮演', '内购解锁', '催泪', '支持手柄', '冒险']","[{'type': 'publisher', 'name': '哔哩哔哩游戏'}, {'type': 'author', 'name': '上海幻电'}]",,,15782,"{'1': 4024, '2': 1370, '3': 3684, '4': 6001, '5': 21302}",[]
232820,九重试炼,"['国风', '竖屏', '魔性', '修仙', 'Roguelike', '休闲']","[{'type': 'developer', 'name': '天之梦游戏'}]",,,5942,"{'1': 252, '2': 108, '3': 261, '4': 535, '5': 1499}",[]
34751,元气骑士,"['Roguelike', '地牢', '像素', 'UP主推荐', '本地联机', '弹幕', '冒险', '多人联机', '独立游戏', '上帝视角']","[{'type': 'author', 'name': '凉屋游戏'}]",,,530185,"{'1': 4002, '2': 1641, '3': 4604, '4': 11192, '5': 86310}",[]
51786,贪婪洞窟,"['单机', '地牢', 'Roguelike', '冒险', '竖屏', '模拟经营', '经营', '生存']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': 'Avalon Games'}]",,,39392,"{'1': 961, '2': 320, '3': 800, '4': 1365, '5': 3255}",[]
216559,国王与冒险家,"['竖屏', '策略', 'Roguelike', '冒险']","[{'type': 'developer', 'name': '海上游戏师'}]",,,6361,"{'1': 207, '2': 73, '3': 121, '4': 156, '5': 1551}",[]
