id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
206369,人格解体,"['克苏鲁', '像素', '移植', '单机', 'Steam移植', '角色扮演']","[{'type': 'developer', 'name': '喵法自然工作室'}]",,,4083,"{'1': 136, '2': 101, '3': 450, '4': 1552, '5': 3758}",[]
229448,强袭人形：原体,"['像素', '弹幕', '街机', 'Steam移植', '射击']","[{'type': 'publisher', 'name': '便当游戏'}, {'type': 'author', 'name': '零之城堡游戏工作室'}]",,,0,"{'1': 151, '2': 95, '3': 271, '4': 482, '5': 1425}",[]
185896,少年的人间奇遇,"['二次元', '美少女', '角色扮演', '单机', '冒险', '休闲', '动漫', 'Steam移植', '多结局', '移植', '文字']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': 'Spacelight Studio'}]",￥12,￥18,201,"{'1': 113, '2': 64, '3': 145, '4': 318, '5': 5221}",[]
40337,石油大亨,"['模拟', '策略', 'Steam移植', '移植', '经营', '内购解锁']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': 'Gamious B.V.'}]",,,7914,"{'1': 1801, '2': 402, '3': 522, '4': 486, '5': 1262}",[]
219122,游荡者:弗兰肯斯坦的怪物,"['治愈', 'Steam移植', '唯美', '单机', '角色扮演']","[{'type': 'publisher', 'name': '易美工作室'}]",,,0,"{'1': 174, '2': 76, '3': 187, '4': 599, '5': 3316}",[]
187384,小动物之星,"['射击', 'Steam移植', '2D', '动物', '动作']","[{'type': 'developer', 'name': '深圳市创梦天地科技有限公司'}]",,,14968,"{'1': 297, '2': 144, '3': 513, '4': 1002, '5': 2739}",[]
67396,失落城堡,"['Roguelike', 'Steam移植', '地牢', '动作', '冒险', '独立游戏', '合作', 'UP主推荐', '内购解锁']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': 'Hunter Studio'}]",,,125732,"{'1': 3327, '2': 1565, '3': 4441, '4': 13277, '5': 41399}",[]
33189,辐射 避难所,"['生存', '经营', '单机', '模拟', '建造', '末日', '模拟经营', 'UP主推荐', '策略', '养成', '冒险', '废土', '横版']","[{'type': 'developer', 'name': '盛趣游戏'}]",,,109008,"{'1': 1096, '2': 458, '3': 1203, '4': 2493, '5': 6025}",[]
71417,人类跌落梦境,"['魔性', '冒险', '付费下载', '多人联机', 'Steam移植', '移植', '物理', '合作', 'UP主推荐', '动作', '休闲', '解谜', '多人游戏']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '505 Games'}]",￥12,￥18,32993,"{'1': 11436, '2': 3957, '3': 8582, '4': 11121, '5': 48930}",[]
85109,迷雾侦探,"['侦探', 'Steam移植', '赛博朋克', '单机', '解谜', '冒险', '推理', '剧情', '独立游戏']","[{'type': 'developer', 'name': '头号游者'}]",,,40607,"{'1': 295, '2': 145, '3': 639, '4': 1768, '5': 23179}",[]
