id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
58885,月圆之夜,"['卡牌', '单机', 'Roguelike', '策略', '独立游戏', '竖屏', '冒险', '童话', 'UP主推荐', '多结局', '手绘']","[{'type': 'publisher', 'name': '巨人网络'}, {'type': 'author', 'name': '滴答工作室'}]",,,181244,"{'1': 2095, '2': 814, '3': 2658, '4': 7842, '5': 58692}",[]
52276,纪念碑谷2,"['烧脑', '益智', '视错觉', '几何', '解谜', '休闲', '唯美', '单机', '艺术', '治愈', '冒险', 'UP主推荐', '竖屏', '亲情']","[{'type': 'publisher', 'name': '极光计划'}]",,,36934,"{'1': 539, '2': 271, '3': 897, '4': 2040, '5': 9757}",[]
61620,决战！平安京,"['MOBA', '和风', '阴阳师', '日系', '3D', '多人联机', 'UP主推荐', '自走棋']","[{'type': 'developer', 'name': '网易游戏'}]",,,167957,"{'1': 11731, '2': 5173, '3': 8194, '4': 9508, '5': 19731}",[]
12492,阴阳师,"['卡牌', '养成', '回合制', '二次元', '收集', '3D', '阴阳师', 'UP主推荐']","[{'type': 'developer', 'name': '网易游戏'}]",,,89541,"{'1': 9068, '2': 3594, '3': 7095, '4': 9068, '5': 21470}",[]
156066,荒野乱斗,"['动作', 'UP主推荐', 'PVP', '卡通', '竞技']","[{'type': 'author', 'name': 'Supercell'}, {'type': 'publisher', 'name': '游族网络'}]",,,32276,"{'1': 10850, '2': 4126, '3': 3911, '4': 2931, '5': 5550}",[]
144287,我想成为创造者,"['平台跳跃', '横版', 'DIY', '动作', '独立游戏', '2D', 'UP主推荐', '闯关']","[{'type': 'developer', 'name': 'AikesiGame'}]",,,0,"{'1': 220, '2': 85, '3': 351, '4': 1009, '5': 9518}",[]
11190,艾希,"['打击感', 'UP主推荐', '动作', 'Steam移植', '单机', '2D', '冒险', '横版', 'meta', '独立游戏', '付费下载', '买断制', '多结局']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '幻刃网络'}]",￥8,￥18,160570,"{'1': 1132, '2': 807, '3': 2626, '4': 6501, '5': 103277}",[]
49995,第五人格,"['刺激', '高画质', '3D', 'UP主推荐', '合作', '多人联机', '非对称竞技', '团队合作', 'PVP', '多人竞技']","[{'type': 'author', 'name': '网易游戏'}]",,,351176,"{'1': 8070, '2': 3097, '3': 7722, '4': 11963, '5': 36567}",[]
6239,球球大作战,"['io', 'UP主推荐', '休闲', '刺激', '多人联机', '合作', '冒险']","[{'type': 'developer', 'name': '巨人网络'}]",,,38347,"{'1': 3115, '2': 1079, '3': 2400, '4': 1928, '5': 4775}",[]
70253,明日方舟,"['塔防', '二次元', '养成', '美少女', '策略', '日系', '硬核', 'UP主推荐', '收集', '废土', '拟人']","[{'type': 'developer', 'name': '鹰角网络'}]",,,135194,"{'1': 23947, '2': 13454, '3': 12555, '4': 22609, '5': 89348}",[]
