id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
203580,口袋奇兵,"['经营', '养成', '战争', '点击', '合成', '策略']","[{'type': 'developer', 'name': '北京江娱互动科技有限公司'}]",,,1338,"{'1': 429, '2': 61, '3': 139, '4': 93, '5': 137}",[]
177635,哈利波特:魔法觉醒,"['策略', '卡牌', '多人联机', '养成', '探索', '角色扮演', '社交']","[{'type': 'developer', 'name': '网易游戏'}]",,,21744,"{'1': 13038, '2': 4973, '3': 5853, '4': 4564, '5': 8792}",[]
136113,魔灵军团,"['养成', '卡牌', '塔防', '竖屏', '收集', '策略', '国风', '放置', '角色扮演']","[{'type': 'developer', 'name': '平头哥游戏'}]",,,608,"{'1': 198, '2': 38, '3': 24, '4': 9, '5': 912}",[]
227686,远征三国,"['三国', 'SLG', '反制', '历史', '战争', '回合制', '收集', '养成', '策略', '卡牌']","[{'type': 'developer', 'name': '海南乐多多'}]",,,10,"{'1': 8, '2': 6, '3': 7, '4': 3, '5': 25}",[]
216990,宝塔之战,"['策略', '塔防', '卡通', '放置', '三国', '卡牌']","[{'type': 'developer', 'name': '深圳米趣玩科技有限公司'}]",,,0,"{'1': 10, '2': 10, '3': 3, '4': 6, '5': 59}",[]
233002,名将之路,"['养成', '三国', '休闲', '卡牌', '回合制', '收集', '策略', '放置', '冒险', '角色扮演', '多人联机', '模拟经营']","[{'type': 'publisher', 'name': '拓洋洋工作室'}]",,,0,"{'1': 63, '2': 22, '3': 31, '4': 42, '5': 201}",[]
229517,傲剑苍穹,"['放置', '修仙', '单机', '文字', '养成', '竖屏', '冒险', '角色扮演', '回合制', 'MUD', '收集', '策略', '仙侠']","[{'type': 'developer', 'name': '广州千果互动传媒有限公司'}]",,,12469,"{'1': 672, '2': 199, '3': 113, '4': 237, '5': 2009}",[]
194962,异次元主公,"['冒险', '策略', '3D', '卡牌', '养成', '二次元', '角色扮演']","[{'type': 'developer', 'name': '米花互动'}]",,,715,"{'1': 229, '2': 158, '3': 104, '4': 75, '5': 366}",[]
201594,攻城天下,"['收集', '国战', '经营', '国风', '角色扮演', '三国', '策略', '多人联机', '卡牌', '战争']","[{'type': 'developer', 'name': '千千数运'}]",,,1067,"{'1': 128, '2': 46, '3': 53, '4': 77, '5': 359}",[]
54031,植物大战僵尸2,"['僵尸', '塔防', '单机', '策略', '休闲', '植物', '卡牌']","[{'type': 'publisher', 'name': '拓维游戏'}, {'type': 'author', 'name': 'EA'}]",,,32527,"{'1': 5133, '2': 1297, '3': 2018, '4': 1673, '5': 3274}",[]
220640,魔镜物语,"['策略', '养成', '竖屏', '收集', '放置', '童话', '卡牌', '冒险', '剧情']","[{'type': 'developer', 'name': 'Yiguo工作室'}]",,,4357,"{'1': 1099, '2': 409, '3': 456, '4': 388, '5': 1608}",[]
131263,部落与弯刀,"['Steam移植', '开放世界', '策略', '单机']","[{'type': 'author', 'name': '汉家松鼠工作室'}, {'type': 'publisher', 'name': '心动'}]",￥18,￥25,550,"{'1': 616, '2': 329, '3': 839, '4': 1428, '5': 4456}",[]
176911,英雄联盟手游,"['MOBA', '高画质', '策略', '英雄联盟', '5v5', 'PVP', '竞技', '移植']","[{'type': 'developer', 'name': '腾讯'}]",,,6553,"{'1': 20350, '2': 4868, '3': 5487, '4': 8085, '5': 66249}",[]
176937,金铲铲之战,"['自走棋', '策略', '英雄联盟']","[{'type': 'publisher', 'name': '腾讯'}]",,,24414,"{'1': 5196, '2': 1168, '3': 1518, '4': 2679, '5': 10875}",[]
70253,明日方舟,"['塔防', '二次元', '养成', '美少女', '策略', '日系', '硬核', 'UP主推荐', '收集', '废土', '拟人']","[{'type': 'developer', 'name': '鹰角网络'}]",,,135199,"{'1': 23946, '2': 13454, '3': 12554, '4': 22609, '5': 89349}",[]
