id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
80109,你了解自己吗,"['心理学', '文字', '单机']","[{'type': 'author', 'name': '晓风游戏'}]",,,0,"{'1': 1078, '2': 700, '3': 2190, '4': 5036, '5': 11392}",[]
52276,纪念碑谷2,"['烧脑', '益智', '视错觉', '几何', '解谜', '休闲', '唯美', '单机', '艺术', '治愈', '冒险', 'UP主推荐', '竖屏', '亲情']","[{'type': 'publisher', 'name': '极光计划'}]",,,36934,"{'1': 539, '2': 271, '3': 897, '4': 2040, '5': 9757}",[]
212370,英雄你太美,"['单机', '养成', '放置', '竖屏']","[{'type': 'developer', 'name': '家游工作室'}]",,,0,"{'1': 143, '2': 66, '3': 158, '4': 250, '5': 1166}",[]
229517,傲剑苍穹,"['放置', '修仙', '单机', '文字', '养成', '竖屏', '冒险', '角色扮演', '回合制', 'MUD', '收集', '策略', '仙侠']","[{'type': 'developer', 'name': '广州千果互动传媒有限公司'}]",,,12481,"{'1': 675, '2': 199, '3': 112, '4': 237, '5': 2014}",[]
54031,植物大战僵尸2,"['僵尸', '塔防', '单机', '策略', '休闲', '植物', '卡牌']","[{'type': 'publisher', 'name': '拓维游戏'}, {'type': 'author', 'name': 'EA'}]",,,32533,"{'1': 5133, '2': 1297, '3': 2017, '4': 1674, '5': 3274}",[]
11190,艾希,"['打击感', 'UP主推荐', '动作', 'Steam移植', '单机', '2D', '冒险', '横版', 'meta', '独立游戏', '付费下载', '买断制', '多结局']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '幻刃网络'}]",￥8,￥18,160570,"{'1': 1133, '2': 807, '3': 2626, '4': 6501, '5': 103292}",[]
212054,海底大猎杀,"['单机', '生存', '养成', '模拟']","[{'type': 'developer', 'name': '香蕉移动游戏'}]",,,0,"{'1': 1450, '2': 184, '3': 215, '4': 149, '5': 651}",[]
235797,贪吃的苹果蛇,"['单机', '解谜', '休闲']","[{'type': 'publisher', 'name': '成都尚泽科技有限公司'}]",,,0,"{'1': 96, '2': 26, '3': 25, '4': 34, '5': 125}",[]
131263,部落与弯刀,"['Steam移植', '开放世界', '策略', '单机']","[{'type': 'author', 'name': '汉家松鼠工作室'}, {'type': 'publisher', 'name': '心动'}]",￥18,￥25,550,"{'1': 617, '2': 331, '3': 840, '4': 1429, '5': 4465}",[]
225407,刀剑江湖录,"['养成', '文字', '单机', '竖屏', '武侠', '放置', '角色扮演']","[{'type': 'developer', 'name': '咖啡沫工作室'}]",,,0,"{'1': 35, '2': 4, '3': 21, '4': 39, '5': 121}",[]
