id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
213181,深空之眼,"['二次元', '科幻', '3D', '高画质', '养成', '动作', '冒险', 'PVE', '日系', 'ARPG', '美少女']","[{'type': 'developer', 'name': '厦门勇仕网络技术有限公司'}]",,,16266,"{'1': 3778, '2': 3736, '3': 9445, '4': 26396, '5': 66952}",[]
156066,荒野乱斗,"['动作', 'UP主推荐', 'PVP', '卡通', '竞技']","[{'type': 'author', 'name': 'Supercell'}, {'type': 'publisher', 'name': '游族网络'}]",,,32287,"{'1': 10852, '2': 4126, '3': 3911, '4': 2931, '5': 5551}",[]
11190,艾希,"['打击感', 'UP主推荐', '动作', 'Steam移植', '单机', '2D', '冒险', '横版', 'meta', '独立游戏', '付费下载', '买断制', '多结局']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '幻刃网络'}]",￥8,￥18,160570,"{'1': 1134, '2': 808, '3': 2626, '4': 6501, '5': 103294}",[]
152653,武侠乂,"['武侠', '动作', '吃鸡', '多人联机', '打击感', '角色扮演', '高画质']","[{'type': 'developer', 'name': 'DreamGameStudio'}]",,,6725,"{'1': 6298, '2': 2000, '3': 2586, '4': 2318, '5': 10045}",[]
144287,我想成为创造者,"['平台跳跃', '横版', 'DIY', '动作', '独立游戏', '2D', 'UP主推荐', '闯关']","[{'type': 'developer', 'name': 'AikesiGame'}]",,,0,"{'1': 220, '2': 85, '3': 351, '4': 1009, '5': 9523}",[]
229870,枪火重生,"['Steam移植', '内购解锁', '射击', 'Roguelike', '动作']","[{'type': 'developer', 'name': '多益网络有限公司'}]",,,1057,"{'1': 1931, '2': 692, '3': 627, '4': 823, '5': 2456}",[]
205608,T3,"['射击', '竞技', '动作']","[{'type': 'developer', 'name': '心动'}]",,,1554,"{'1': 2745, '2': 1385, '3': 3425, '4': 4600, '5': 9182}",[]
139301,使命召唤手游,"['FPS', '高画质', '射击', '动作', '合作', '支持手柄', '竞技', '团队合作']","[{'type': 'developer', 'name': '腾讯'}]",,,31035,"{'1': 7748, '2': 3102, '3': 6767, '4': 11305, '5': 28099}",[]
235420,枪战特训2：激战,"['FPS', '射击', '动作']","[{'type': 'developer', 'name': '睡鲨工作室'}]",,,0,"{'1': 435, '2': 115, '3': 187, '4': 257, '5': 539}",[]
171015,重生细胞,"['动作', 'Roguelike', 'Steam移植', '单机', '移植', '像素', '横版', '地牢', '收集', '2D', '独立游戏', '高难度', '打击感', '角色扮演', '内购解锁', '催泪', '支持手柄', '冒险']","[{'type': 'publisher', 'name': '哔哩哔哩游戏'}, {'type': 'author', 'name': '上海幻电'}]",,,15782,"{'1': 4024, '2': 1369, '3': 3686, '4': 6003, '5': 21306}",[]
10056,崩坏3,"['动作', '二次元', '高画质', '美少女', '3D', '养成', '日系', '国产', 'ARPG', '热血', '多人联机', 'PVE', '冒险']","[{'type': 'developer', 'name': 'miHoYo'}]",,,215478,"{'1': 27087, '2': 12076, '3': 11816, '4': 14869, '5': 56953}",[]
130651,战双帕弥什,"['动作', '高画质', '二次元', '美少女', 'ARPG', '3D', '养成', '高难度', '科幻', '末日', 'UP主推荐', '支持手柄', '多人联机']","[{'type': 'author', 'name': '库洛游戏'}]",,,57520,"{'1': 17635, '2': 11057, '3': 12275, '4': 20515, '5': 56234}",[]
202514,派对之星,"['格斗', '动作', '同屏对战', '多人联机', 'PVP']","[{'type': 'developer', 'name': '心动'}]",,,15036,"{'1': 2673, '2': 1208, '3': 3166, '4': 4219, '5': 8460}",[]
