id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
49995,第五人格,"['刺激', '高画质', '3D', 'UP主推荐', '合作', '多人联机', '非对称竞技', '团队合作', 'PVP', '多人竞技']","[{'type': 'author', 'name': '网易游戏'}]",,,351185,"{'1': 8072, '2': 3097, '3': 7722, '4': 11962, '5': 36573}",[]
176937,金铲铲之战,"['自走棋', '策略', '英雄联盟']","[{'type': 'publisher', 'name': '腾讯'}]",,,24425,"{'1': 5200, '2': 1169, '3': 1519, '4': 2681, '5': 10874}",[]
81375,和平精英（体验服）,"['吃鸡', '多人联机', '射击', '高画质', '3D']","[{'type': 'developer', 'name': '腾讯'}]",,,2,"{'1': 1504, '2': 452, '3': 589, '4': 803, '5': 7207}",[]
130651,战双帕弥什,"['动作', '高画质', '二次元', '美少女', 'ARPG', '3D', '养成', '高难度', '科幻', '末日', 'UP主推荐', '支持手柄', '多人联机']","[{'type': 'author', 'name': '库洛游戏'}]",,,57522,"{'1': 17635, '2': 11058, '3': 12275, '4': 20516, '5': 56236}",[]
202514,派对之星,"['格斗', '动作', '同屏对战', '多人联机', 'PVP']","[{'type': 'developer', 'name': '心动'}]",,,15040,"{'1': 2674, '2': 1209, '3': 3167, '4': 4219, '5': 8460}",[]
137852,香肠派对（先行服）,"['吃鸡', '射击', '多人联机', '战斗', '可爱']","[{'type': 'author', 'name': '真有趣游戏'}, {'type': 'publisher', 'name': '心动'}]",,,80654,"{'1': 5333, '2': 1677, '3': 3092, '4': 6019, '5': 44379}",[]
131453,墨斗,"['格斗', '硬核', '热血', 'PVP', '1v1', '西游', '横版', '动作', '多人联机', '独立游戏']","[{'type': 'publisher', 'name': '吉游社'}, {'type': 'author', 'name': 'G5'}]",,,20994,"{'1': 3090, '2': 908, '3': 1953, '4': 2743, '5': 7636}",[]
34751,元气骑士,"['Roguelike', '地牢', '像素', 'UP主推荐', '本地联机', '弹幕', '冒险', '多人联机', '独立游戏', '上帝视角']","[{'type': 'author', 'name': '凉屋游戏'}]",,,530230,"{'1': 4004, '2': 1643, '3': 4604, '4': 11192, '5': 86313}",[]
70056,和平精英,"['多人联机', '射击', 'FPS', 'PVP', '竞技', 'TPS', '3D', '团队合作', '合作', '第三人称视角']","[{'type': 'developer', 'name': '腾讯'}]",,,1386469,"{'1': 33889, '2': 9115, '3': 17614, '4': 24456, '5': 85459}",[]
159465,一念逍遥,"['文字', '养成', '修仙', '竖屏', '角色扮演', '多人联机', '武侠', '放置', '国风']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': '星云工作室'}]",,,24928,"{'1': 8367, '2': 3863, '3': 7167, '4': 6983, '5': 13307}",[]
194610,泰拉瑞亚,"['沙盒', '像素', '开放世界', '付费下载', '冒险', 'Steam移植', '多人联机', '移植', '2D', 'DIY', '单机']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '505 Games'}]",￥12,￥18,15429,"{'1': 5107, '2': 1363, '3': 3507, '4': 6130, '5': 54432}",[]
2301,王者荣耀,"['MOBA', '5v5', '多人联机', '自走棋']","[{'type': 'developer', 'name': '腾讯'}]",,,320017,"{'1': 113870, '2': 25152, '3': 31504, '4': 25691, '5': 56740}",[]
43639,我的世界,"['沙盒', '开放世界', '像素', 'DIY', '建造', '冒险', '合作', '探索', '多人联机', '高自由度']","[{'type': 'publisher', 'name': '网易游戏'}]",,,269781,"{'1': 17222, '2': 5584, '3': 9174, '4': 7614, '5': 36079}",[]
168332,原神,"['开放世界', '二次元', '角色扮演', '养成', '高自由度', '动作', '高画质', 'ARPG', '冒险', '3D', '多人联机', '剧情']","[{'type': 'developer', 'name': 'miHoYo'}]",,,157477,"{'1': 81912, '2': 26935, '3': 29022, '4': 37747, '5': 173851}",[]
58881,香肠派对,"['射击', '吃鸡', '战斗', '多人联机', '卡通', '合作', '团队合作', 'UP主推荐', '竞技', 'TPS']","[{'type': 'author', 'name': '真有趣游戏'}, {'type': 'publisher', 'name': '心动'}]",,,1596593,"{'1': 55315, '2': 15486, '3': 33479, '4': 51008, '5': 307384}",[]
54693,克隆战争,"['卡牌', '美漫', '放置', '养成', '废土', '收集', '回合制', '科幻', '多人联机', '朋克']","[{'type': 'developer', 'name': 'FT Games'}]",,,30416,"{'1': 446, '2': 284, '3': 615, '4': 1070, '5': 1635}",[]
190867,王牌竞速,"['赛车', '高画质', '竞速', '多人联机', '漂移', '竞技']","[{'type': 'developer', 'name': '网易游戏'}]",,,9899,"{'1': 2933, '2': 1337, '3': 1994, '4': 2062, '5': 4628}",[]
211270,斗罗大陆：魂师对决,"['多人联机', '养成', '角色扮演', '卡牌', '3D']","[{'type': 'publisher', 'name': '37手游'}]",,,8010,"{'1': 2924, '2': 946, '3': 1174, '4': 2932, '5': 6788}",[]
156066,荒野乱斗,"['动作', 'UP主推荐', 'PVP', '卡通', '竞技']","[{'type': 'author', 'name': 'Supercell'}, {'type': 'publisher', 'name': '游族网络'}]",,,32291,"{'1': 10852, '2': 4126, '3': 3911, '4': 2931, '5': 5551}",[]
