id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
194962,异次元主公,"['冒险', '策略', '3D', '卡牌', '养成', '二次元', '角色扮演']","[{'type': 'developer', 'name': '米花互动'}]",,,715,"{'1': 230, '2': 158, '3': 104, '4': 75, '5': 366}",[]
70882,猫和老鼠,"['休闲', '多人联机', '动漫', '横版', 'UP主推荐', '二次元', '搞笑']","[{'type': 'developer', 'name': '网易游戏'}]",,,41249,"{'1': 3628, '2': 1462, '3': 3457, '4': 7765, '5': 20272}",[]
12492,阴阳师,"['卡牌', '养成', '回合制', '二次元', '收集', '3D', '阴阳师', 'UP主推荐']","[{'type': 'developer', 'name': '网易游戏'}]",,,89546,"{'1': 9069, '2': 3594, '3': 7094, '4': 9069, '5': 21473}",[]
192675,幻塔,"['开放世界', '高自由度', '高画质', '角色扮演', '二次元', 'ARPG', '冒险', '动作', '多人联机', 'MMORPG', '支持手柄', '美少女']","[{'type': 'developer', 'name': 'Hotta Studio'}]",,,5264,"{'1': 30636, '2': 11214, '3': 9368, '4': 6376, '5': 22634}",[]
173797,时空中的绘旅人,"['乙女', '剧情', '女性向', '卡牌', '恋爱', '高画质', '养成', '二次元']","[{'type': 'developer', 'name': '网易游戏'}]",,,5161,"{'1': 458, '2': 531, '3': 1440, '4': 2521, '5': 9074}",[]
188743,三国志幻想大陆,"['卡牌', '养成', '三国', '美少女', '回合制', '二次元', '策略', '收集', '冒险']","[{'type': 'developer', 'name': '广州灵犀互动娱乐有限公司'}]",,,10914,"{'1': 3048, '2': 1857, '3': 2715, '4': 4639, '5': 7302}",[]
2247,火影忍者,"['格斗', '动作', '横版', '动漫', '日系', '二次元', '热血', '竞技', '多人联机', '横版格斗', '日漫']","[{'type': 'developer', 'name': '腾讯'}]",,,64093,"{'1': 11033, '2': 2372, '3': 4119, '4': 4913, '5': 12628}",[]
213181,深空之眼,"['二次元', '科幻', '3D', '高画质', '养成', '动作', '冒险', 'PVE', '日系', 'ARPG', '美少女']","[{'type': 'developer', 'name': '厦门勇仕网络技术有限公司'}]",,,16269,"{'1': 3778, '2': 3738, '3': 9443, '4': 26399, '5': 66962}",[]
203129,人工桌面,"['美少女', '3D', '高画质', '二次元', '应用', '换装', '可爱']","[{'type': 'developer', 'name': 'miHoYo'}]",,,1,"{'1': 933, '2': 511, '3': 2009, '4': 4122, '5': 11804}",[]
228716,傲娇壁纸,"['二次元', '美少女', '应用', '桌面和棋类']","[{'type': 'developer', 'name': '傲娇工作室'}]",,,8042,"{'1': 65, '2': 34, '3': 145, '4': 351, '5': 2133}",[]
10056,崩坏3,"['动作', '二次元', '高画质', '美少女', '3D', '养成', '日系', '国产', 'ARPG', '热血', '多人联机', 'PVE', '冒险']","[{'type': 'developer', 'name': 'miHoYo'}]",,,215483,"{'1': 27088, '2': 12075, '3': 11816, '4': 14870, '5': 56953}",[]
