id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
230720,未知：升变,"['动作', '生存', '国风', 'Roguelike']","[{'type': 'developer', 'name': '未知之人'}]",,,0,"{'1': 746, '2': 351, '3': 632, '4': 831, '5': 1840}",[]
176581,无悔华夏,"['单机', '模拟经营', '经营', '历史', '策略', '国风', '战争', '模拟']","[{'type': 'author', 'name': '乐趣实验室'}]",,,17340,"{'1': 1462, '2': 1568, '3': 1859, '4': 2377, '5': 8773}",[]
50500,一梦江湖,"['高自由度', '武侠', 'MMORPG', '高画质', '捏脸', '古风', '角色扮演', '3D', '开放世界', '多人联机']","[{'type': 'developer', 'name': '网易游戏'}]",,,209154,"{'1': 6858, '2': 3556, '3': 9589, '4': 11890, '5': 21675}",[]
213906,纸嫁衣2奘铃村,"['单机', '解谜', '恐怖', '密室', '竖屏', '剧情', '国风']","[{'type': 'developer', 'name': '心动互娱'}]",,,7529,"{'1': 248, '2': 126, '3': 368, '4': 1140, '5': 12072}",[]
201594,攻城天下,"['收集', '国战', '经营', '国风', '角色扮演', '三国', '策略', '多人联机', '卡牌', '战争']","[{'type': 'developer', 'name': '千千数运'}]",,,1067,"{'1': 128, '2': 46, '3': 53, '4': 77, '5': 367}",[]
203666,纸嫁衣,"['密室', '需家长陪同', '恐怖', '解谜', '单机', '国风', '竖屏']","[{'type': 'author', 'name': '心动互娱'}]",,,11655,"{'1': 398, '2': 223, '3': 1380, '4': 7715, '5': 26553}",[]
186039,无极仙途,"['修仙', '放置', '文字', '养成', '竖屏', '经营', '角色扮演', '国风']","[{'type': 'developer', 'name': '风之力游戏'}]",,,40101,"{'1': 1348, '2': 1099, '3': 1612, '4': 6899, '5': 24069}",[]
136113,魔灵军团,"['养成', '卡牌', '塔防', '竖屏', '收集', '策略', '国风', '放置', '角色扮演']","[{'type': 'developer', 'name': '平头哥游戏'}]",,,610,"{'1': 198, '2': 39, '3': 24, '4': 9, '5': 912}",[]
225975,纸嫁衣3鸳鸯债,"['恐怖', '解谜', '国风', '单机', '密室', '烧脑', '需家长陪同']","[{'type': 'author', 'name': '心动互娱'}, {'type': 'publisher', 'name': '成都星驰互娱科技有限公司'}]",,,3582,"{'1': 217, '2': 132, '3': 399, '4': 1124, '5': 21302}",[]
212140,仙岛大乱斗,"['卡牌', '国风', '文字', '经营', '冒险', '养成', '竖屏', '修仙', '放置', '角色扮演']","[{'type': 'author', 'name': '小火山科技'}]",,,0,"{'1': 109, '2': 93, '3': 76, '4': 26, '5': 133}",[]
214010,永恒修仙,"['养成', '国风', '水墨', '修仙', '古风', '放置', '文字', '冒险', '竖屏', '仙侠', '角色扮演']","[{'type': 'developer', 'name': '修仙辅导员'}]",,,2505,"{'1': 217, '2': 77, '3': 74, '4': 112, '5': 690}",[]
179371,江南百景图,"['经营', '模拟', '放置', '国风', '古风', '水墨', '休闲', '多人联机', '建造', '佛系']","[{'type': 'developer', 'name': '椰岛游戏'}]",,,44401,"{'1': 21482, '2': 9866, '3': 9612, '4': 12707, '5': 20425}",[]
208351,剑墨江湖,"['文字', '武侠', '放置', '竖屏', '国风', '古风', '模拟', '单机', 'MUD', '角色扮演']","[{'type': 'developer', 'name': '剑侠客'}]",,,0,"{'1': 152, '2': 55, '3': 57, '4': 158, '5': 570}",[]
232820,九重试炼,"['国风', '角色扮演', '竖屏', '魔性', '修仙', 'Roguelike', '休闲']","[{'type': 'developer', 'name': '天之梦游戏'}]",,,5996,"{'1': 266, '2': 109, '3': 262, '4': 541, '5': 1538}",[]
159465,一念逍遥,"['文字', '养成', '修仙', '竖屏', '角色扮演', '多人联机', '武侠', '放置', '国风']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': '星云工作室'}]",,,24932,"{'1': 8367, '2': 3863, '3': 7167, '4': 6983, '5': 13308}",[]
200810,斗诡,"['国风', '养成', '角色扮演', '横版', '动作']","[{'type': 'author', 'name': '翼逗'}]",,,308,"{'1': 756, '2': 222, '3': 182, '4': 140, '5': 256}",[]
