id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
179754,无尽噩梦,"['恐怖', '单机', '需家长陪同', '解谜']","[{'type': 'publisher', 'name': '云步互娱'}, {'type': 'author', 'name': '郑州宸冠'}]",,,4941,"{'1': 189, '2': 89, '3': 406, '4': 1164, '5': 2209}",[]
15463,艾彼,"['单机', '解谜', '独立游戏', '末日', '治愈', '益智', 'UP主推荐', '冒险', '剧情']","[{'type': 'developer', 'name': '莉莉丝游戏'}]",,,17761,"{'1': 618, '2': 229, '3': 654, '4': 1690, '5': 5014}",[]
136635,百变大侦探,"['解谜', '推理', '多人联机', '桌面和棋类', '桌游']","[{'type': 'developer', 'name': '北京久幺幺科技有限公司'}]",,,30448,"{'1': 265, '2': 97, '3': 323, '4': 1251, '5': 7104}",[]
142400,剧本杀,"['推理', '桌游', '解谜', '桌面和棋类', '多人联机', '应用', '侦探']","[{'type': 'developer', 'name': '河南成森网络科技有限公司'}]",,,6415,"{'1': 135, '2': 83, '3': 199, '4': 284, '5': 571}",[]
213906,纸嫁衣2奘铃村,"['单机', '解谜', '恐怖', '密室', '竖屏', '剧情', '国风']","[{'type': 'developer', 'name': '心动互娱'}]",,,7529,"{'1': 248, '2': 126, '3': 368, '4': 1140, '5': 12073}",[]
18356,纪念碑谷,"['益智', '几何', '视错觉', '唯美', '单机', '解谜', '烧脑', '艺术', '冒险', '高画质', '治愈', 'UP主推荐', 'AR', '竖屏']","[{'type': 'publisher', 'name': '深圳市创梦天地科技有限公司'}]",,,16494,"{'1': 166, '2': 39, '3': 230, '4': 794, '5': 16767}",[]
231220,房间的秘密,"['单机', '手绘', '解谜', '益智']","[{'type': 'author', 'name': '无面人工作室'}]",,,10671,"{'1': 83, '2': 35, '3': 123, '4': 557, '5': 4192}",[]
203666,纸嫁衣,"['密室', '需家长陪同', '恐怖', '解谜', '单机', '国风', '竖屏']","[{'type': 'author', 'name': '心动互娱'}]",,,11656,"{'1': 398, '2': 223, '3': 1380, '4': 7715, '5': 26553}",[]
215953,你已经猜到结局了吗,"['文字', '单机', '解谜', '益智', '需家长陪同', '二次元']","[{'type': 'developer', 'name': '橘音游戏'}]",,,5092,"{'1': 75, '2': 85, '3': 210, '4': 722, '5': 4174}",[]
224385,虫鸣,"['恐怖', '解谜', '需家长陪同', '单机']","[{'type': 'developer', 'name': '创源互娱'}]",,,0,"{'1': 88, '2': 63, '3': 112, '4': 163, '5': 368}",[]
