id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
163161,汤姆猫飞车,"['多人联机', '汤姆猫', '竞速']","[{'type': 'developer', 'name': '广州金科文化科技有限公司'}]",,,0,"{'1': 109, '2': 32, '3': 75, '4': 69, '5': 300}",[]
215679,霓虹飞车,['竞速'],"[{'type': 'developer', 'name': '江止'}]",,,0,"{'1': 4, '2': 1, '3': 4, '4': 7, '5': 9}",[]
173776,快到碗里来,"['多人联机', '竞速', '双人', '休闲']","[{'type': 'author', 'name': '互联星梦ISVR'}]",,,0,"{'1': 117, '2': 43, '3': 126, '4': 156, '5': 243}",[]
169380,真实公路摩托锦标赛,"['模拟', '单机', '驾驶', '竞速']","[{'type': 'publisher', 'name': '明雅数娱'}, {'type': 'author', 'name': '索娱（成都）科技有限公司'}]",,,0,"{'1': 203, '2': 80, '3': 114, '4': 79, '5': 176}",[]
6856,极速变色龙,"['街机', '竞速', '跑酷', '付费下载', '单机']","[{'type': 'developer', 'name': 'ZPLAY'}]",￥3,￥12,8230,"{'1': 232, '2': 53, '3': 177, '4': 388, '5': 1894}",[]
84164,跑跑卡丁车官方竞速版,"['竞速', '童年', '多人联机', '赛车', 'Q版']","[{'type': 'developer', 'name': '上海邮通科技有限公司'}]",,,24816,"{'1': 2496, '2': 1205, '3': 1947, '4': 1916, '5': 5785}",[]
168597,全民超车,"['赛车', '模拟', '竞速']","[{'type': 'author', 'name': '凡夫逍遥'}, {'type': 'publisher', 'name': '北京凡夫逍遥网络科技有限公司'}]",,,0,"{'1': 27, '2': 3, '3': 4, '4': 4, '5': 35}",[]
45226,登山赛车,"['单机', '赛车', '休闲', '竞速', '物理', '模拟']","[{'type': 'publisher', 'name': '北京唯我乐园信息技术有限公司'}]",,,10576,"{'1': 294, '2': 79, '3': 339, '4': 626, '5': 1374}",[]
216941,遨游城市遨游中国卡车模拟器,"['竞速', '单机', '真实模拟', '模拟']","[{'type': 'developer', 'name': '掌顺科技'}]",,,0,"{'1': 1441, '2': 311, '3': 423, '4': 170, '5': 655}",[]
61244,汤姆猫跑酷,"['跑酷', '竞速']","[{'type': 'developer', 'name': '广州金科文化科技有限公司'}]",,,2,"{'1': 148, '2': 57, '3': 198, '4': 370, '5': 646}",[]
216253,爸爸送儿子上学,"['单机', '休闲', '竞速']","[{'type': 'publisher', 'name': '北京古鲁营销'}]",,,0,"{'1': 397, '2': 25, '3': 25, '4': 21, '5': 130}",[]
165536,狂野飙车9：竞速传奇,"['高画质', '漂移', '赛车', '竞速', '多人联机', '3D']","[{'type': 'developer', 'name': '广州灵犀互动娱乐有限公司'}]",,,17997,"{'1': 3720, '2': 1473, '3': 2413, '4': 2003, '5': 3530}",[]
55618,QQ飞车,"['竞速', '漂移', '3D', '休闲', '竞技', '多人联机']","[{'type': 'developer', 'name': '腾讯'}]",,,164875,"{'1': 5127, '2': 1846, '3': 4198, '4': 5624, '5': 15003}",[]
190867,王牌竞速,"['赛车', '高画质', '竞速', '多人联机', '漂移', '竞技']","[{'type': 'developer', 'name': '网易游戏'}]",,,9901,"{'1': 2935, '2': 1336, '3': 1995, '4': 2062, '5': 4628}",[]
223635,真实公路汽车2,"['竞速', '驾驶', '体育']","[{'type': 'publisher', 'name': '云步互娱'}, {'type': 'author', 'name': '深圳明雅数娱网络科技有限公司'}]",,,0,"{'1': 947, '2': 119, '3': 220, '4': 136, '5': 848}",[]
154846,嘻哈酷跑（测试服）,"['跑酷', '竞速', '街机']","[{'type': 'developer', 'name': 'APPTUTTi'}]",,,1778,"{'1': 13, '2': 13, '3': 24, '4': 50, '5': 88}",[]
226926,巅峰漂移,['竞速'],"[{'type': 'developer', 'name': 'APPTUTTi'}]",,,0,"{'1': 16, '2': 2, '3': 2, '4': 2, '5': 8}",[]
193179,漂移飞车,"['竞速', '赛车', '休闲']","[{'type': 'author', 'name': 'Nicety Games'}]",,,0,"{'1': 35, '2': 5, '3': 3, '4': 4, '5': 16}",[]
211637,街头摩托：极速竞技,['竞速'],"[{'type': 'author', 'name': '木鱼球工作室'}]",,,0,"{'1': 19, '2': 3, '3': 3, '4': 6, '5': 7}",[]
191412,卡车运输,"['竞速', '单机', '驾驶', '模拟']","[{'type': 'developer', 'name': '快乐水工作室'}]",,,0,"{'1': 37, '2': 11, '3': 25, '4': 24, '5': 42}",[]
