id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
10498,部落冲突：皇室战争,"['卡牌', '策略', '多人联机', '塔防', 'UP主推荐', '战争']","[{'type': 'author', 'name': 'Supercell'}, {'type': 'publisher', 'name': '北京昆仑乐享网络技术有限公司'}]",,,36950,"{'1': 3942, '2': 1254, '3': 1988, '4': 2547, '5': 5836}",[]
213,炉石传说,"['卡牌', 'CCG', '策略', 'UP主推荐', '收集', 'PVP', '1v1', '竞技', '自走棋']","[{'type': 'developer', 'name': 'Blizzard Entertainment, Inc.'}]",,,99663,"{'1': 10831, '2': 2980, '3': 4702, '4': 5820, '5': 20907}",[]
226668,热血三国志ol,"['三国', '冒险', '策略', '养成', '收集', 'SLG', '放置', '角色扮演', '卡牌']","[{'type': 'developer', 'name': '旭日尚荣'}]",,,0,"{'1': 75, '2': 22, '3': 27, '4': 30, '5': 245}",[]
212140,仙岛大乱斗,"['卡牌', '国风', '文字', '经营', '冒险', '养成', '竖屏', '修仙', '放置', '角色扮演']","[{'type': 'author', 'name': '小火山科技'}]",,,0,"{'1': 109, '2': 93, '3': 76, '4': 26, '5': 133}",[]
194962,异次元主公,"['冒险', '策略', '3D', '卡牌', '养成', '二次元', '角色扮演']","[{'type': 'developer', 'name': '米花互动'}]",,,715,"{'1': 230, '2': 158, '3': 104, '4': 75, '5': 368}",[]
58885,月圆之夜,"['卡牌', '单机', 'Roguelike', '策略', '独立游戏', '竖屏', '冒险', '童话', 'UP主推荐', '多结局', '手绘']","[{'type': 'publisher', 'name': '巨人网络'}, {'type': 'author', 'name': '滴答工作室'}]",,,181274,"{'1': 2095, '2': 814, '3': 2658, '4': 7844, '5': 58690}",[]
173797,时空中的绘旅人,"['乙女', '剧情', '女性向', '卡牌', '恋爱', '高画质', '养成', '二次元']","[{'type': 'developer', 'name': '网易游戏'}]",,,5162,"{'1': 459, '2': 531, '3': 1440, '4': 2521, '5': 9075}",[]
177635,哈利波特:魔法觉醒,"['策略', '卡牌', '多人联机', '养成', '探索', '角色扮演', '社交']","[{'type': 'developer', 'name': '网易游戏'}]",,,21751,"{'1': 13039, '2': 4975, '3': 5855, '4': 4564, '5': 8793}",[]
12492,阴阳师,"['卡牌', '养成', '回合制', '二次元', '收集', '3D', '阴阳师', 'UP主推荐']","[{'type': 'developer', 'name': '网易游戏'}]",,,89548,"{'1': 9069, '2': 3593, '3': 7095, '4': 9070, '5': 21473}",[]
231374,乱世三国志,"['二次元', '三国', '策略', '养成', '收集', '卡牌']","[{'type': 'developer', 'name': 'Double-xin games'}]",,,0,"{'1': 46, '2': 17, '3': 20, '4': 39, '5': 193}",[]
188743,三国志幻想大陆,"['卡牌', '养成', '三国', '美少女', '回合制', '二次元', '策略', '收集', '冒险']","[{'type': 'developer', 'name': '广州灵犀互动娱乐有限公司'}]",,,10918,"{'1': 3050, '2': 1857, '3': 2716, '4': 4640, '5': 7304}",[]
54693,克隆战争,"['卡牌', '美漫', '放置', '养成', '废土', '收集', '回合制', '科幻', '多人联机', '朋克']","[{'type': 'developer', 'name': 'FT Games'}]",,,30416,"{'1': 446, '2': 284, '3': 615, '4': 1070, '5': 1635}",[]
211270,斗罗大陆：魂师对决,"['多人联机', '养成', '角色扮演', '卡牌', '3D']","[{'type': 'publisher', 'name': '37手游'}]",,,8012,"{'1': 2924, '2': 946, '3': 1174, '4': 2934, '5': 6789}",[]
54031,植物大战僵尸2,"['僵尸', '塔防', '单机', '策略', '休闲', '植物', '卡牌']","[{'type': 'publisher', 'name': '拓维游戏'}, {'type': 'author', 'name': 'EA'}]",,,32556,"{'1': 5135, '2': 1297, '3': 2018, '4': 1674, '5': 3274}",[]
70253,明日方舟,"['塔防', '二次元', '养成', '美少女', '策略', '日系', '硬核', 'UP主推荐', '收集', '废土', '拟人']","[{'type': 'developer', 'name': '鹰角网络'}]",,,135219,"{'1': 23944, '2': 13453, '3': 12551, '4': 22610, '5': 89355}",[]
42949,魂器学院,"['竖屏', '收集', '放置', '养成', '美少女', '二次元', '卡牌', '休闲', '模拟经营', '经营']","[{'type': 'developer', 'name': '傲娇工作室'}]",,,100033,"{'1': 1629, '2': 1109, '3': 2413, '4': 4506, '5': 13040}",[]
149161,坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险,"['卡牌', '像素', '角色扮演', '养成', '冒险']","[{'type': 'developer', 'name': '哔哩哔哩游戏'}]",,,13194,"{'1': 3984, '2': 3226, '3': 3208, '4': 4022, '5': 8283}",[]
216990,宝塔之战,"['策略', '塔防', '卡通', '放置', '三国', '卡牌']","[{'type': 'developer', 'name': '深圳米趣玩科技有限公司'}]",,,0,"{'1': 11, '2': 10, '3': 3, '4': 6, '5': 60}",[]
7157,机动战队大作战,"['二次元', '美少女', '机甲', '养成', '竖屏', '日系', '科幻', 'UP主推荐', '即时战略']","[{'type': 'author', 'name': '游戏公国'}]",,,195561,"{'1': 2293, '2': 1694, '3': 2149, '4': 3722, '5': 10852}",[]
205277,攻城三国志,"['模拟经营', '国战', '经营', '策略', '三国', '多人联机', '卡牌', 'SLG']","[{'type': 'author', 'name': '盘古工作室'}, {'type': 'publisher', 'name': '盘古工作室'}]",,,172,"{'1': 87, '2': 16, '3': 20, '4': 25, '5': 380}",[]
186316,光与夜之恋,"['乙女', '养成', '恋爱', '女性向', '卡牌', '二次元', '换装', '剧情']","[{'type': 'developer', 'name': '腾讯'}]",,,6235,"{'1': 4555, '2': 2251, '3': 3084, '4': 3647, '5': 7558}",[]
31597,碧蓝航线,"['二次元', '美少女', '养成', '舰队', '海战', '收集', 'UP主推荐', '多人联机', '日系', '拟人']","[{'type': 'publisher', 'name': '哔哩哔哩游戏'}]",,,62034,"{'1': 4265, '2': 1519, '3': 2233, '4': 4192, '5': 26234}",[]
219389,战龙无双,"['卡牌', '养成', 'SLG', '三国', '收集', '模拟经营', '经营', '放置', '策略', '二次元']","[{'type': 'developer', 'name': '微娱网络'}]",,,1779,"{'1': 42, '2': 20, '3': 13, '4': 34, '5': 167}",[]
220640,魔镜物语,"['策略', '养成', '竖屏', '收集', '放置', '童话', '卡牌', '冒险', '剧情']","[{'type': 'developer', 'name': 'Yiguo工作室'}]",,,4367,"{'1': 1100, '2': 410, '3': 456, '4': 389, '5': 1609}",[]
176192,灵魂宝戒,"['策略', '卡牌', '冒险', 'dbg', 'Roguelike']","[{'type': 'publisher', 'name': '深圳市探娱互动科学文化有限公司'}, {'type': 'author', 'name': '工头网络'}]",,,15400,"{'1': 651, '2': 495, '3': 3056, '4': 14581, '5': 26730}",[]
136113,魔灵军团,"['养成', '卡牌', '塔防', '竖屏', '收集', '策略', '国风', '放置', '角色扮演']","[{'type': 'developer', 'name': '平头哥游戏'}]",,,611,"{'1': 198, '2': 39, '3': 24, '4': 9, '5': 912}",[]
227686,远征三国,"['三国', 'SLG', '反制', '历史', '战争', '回合制', '收集', '养成', '策略', '卡牌']","[{'type': 'developer', 'name': '海南乐多多'}]",,,10,"{'1': 8, '2': 7, '3': 7, '4': 3, '5': 26}",[]
7035,三国杀,"['策略', '卡牌', '三国', '桌面和棋类', '多人联机', '桌游']","[{'type': 'developer', 'name': '杭州游卡网络技术有限公司'}]",,,19870,"{'1': 12848, '2': 1188, '3': 1133, '4': 532, '5': 1817}",[]
148290,另一个伊甸 : 超越时空的猫,"['回合制', '单机', '剧情', '卡牌', '养成', '二次元', '角色扮演', '日系', '冒险']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': 'WFS'}]",,,34283,"{'1': 2381, '2': 1219, '3': 2828, '4': 9252, '5': 35477}",[]
219929,王者战神（测试服）,"['卡牌', '二次元', '养成', '放置', '冒险', '角色扮演', '回合制', '机甲', '策略']","[{'type': 'publisher', 'name': '朋友玩网络'}]",,,0,"{'1': 171, '2': 69, '3': 86, '4': 124, '5': 1165}",[]
150454,航海奇闻,"['Roguelike', '卡牌', '策略', '冒险', '航海', '移植', 'Steam移植', 'dbg', '单机']","[{'type': 'developer', 'name': 'Fabled Game Studio'}]",,,8174,"{'1': 310, '2': 212, '3': 546, '4': 715, '5': 1541}",[]
12982,命运-冠位指定,"['二次元', '卡牌', '动漫', '回合制', '美少女', '日系', '收集', '日漫']","[{'type': 'developer', 'name': '哔哩哔哩游戏'}]",,,90174,"{'1': 5156, '2': 1476, '3': 2730, '4': 4393, '5': 18032}",[]
139421,公主连结Re:Dive,"['二次元', '卡牌', '养成', '动漫', '美少女', '剧情', '日系']","[{'type': 'developer', 'name': '哔哩哔哩游戏'}]",,,15546,"{'1': 6671, '2': 4991, '3': 6642, '4': 6490, '5': 16126}",[]
217524,文明与征服,"['养成', '战争', '模拟', '策略', 'SLG', '多人联机', '卡牌']","[{'type': 'developer', 'name': '文明工作室'}]",,,1270,"{'1': 1089, '2': 437, '3': 570, '4': 626, '5': 1299}",[]
195161,花亦山心之月,"['女性向', '养成', '收集', '卡牌', '剧情', '古风', '角色扮演', '捏脸']","[{'type': 'developer', 'name': '朝夕光年'}]",,,1541,"{'1': 1005, '2': 1849, '3': 2428, '4': 1844, '5': 4487}",[]
209448,纯白和弦,"['Roguelike', '养成', '策略', '剧情', '冒险', '卡牌', '二次元', '美少女']","[{'type': 'developer', 'name': '斯庭格柏理事会'}]",,,1561,"{'1': 274, '2': 383, '3': 643, '4': 653, '5': 1522}",[]
221612,部落大作战,"['放置', '养成', '卡牌', '策略', '竖屏', '冒险', 'SLG', '角色扮演']","[{'type': 'developer', 'name': '文显科技'}]",,,4078,"{'1': 327, '2': 81, '3': 80, '4': 75, '5': 1209}",[]
170078,摩尔庄园,"['童年', '多人联机', '模拟经营', '经营', '休闲', '养成', '种田', '建造', '3D', '卡牌']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': '上海淘米网络科技有限公司'}]",,,87252,"{'1': 7108, '2': 4126, '3': 6264, '4': 6948, '5': 20025}",[]
191269,开局一把剑,"['地牢', '卡牌', '单机', 'Roguelike', '角色扮演', '策略']","[{'type': 'author', 'name': '做个好游戏工作室'}]",,,25269,"{'1': 99, '2': 53, '3': 243, '4': 844, '5': 1825}",[]
204923,上古王冠,"['竖屏', '卡牌', '二次元', '放置', '多人联机', '回合制', '3D', '收集', '养成']","[{'type': 'developer', 'name': '极致游戏'}]",,,5937,"{'1': 633, '2': 367, '3': 1087, '4': 1860, '5': 4625}",[]
14461,道友请留步,"['卡牌', '策略', '养成', '收集', '国风', '回合制']","[{'type': 'publisher', 'name': '极致游戏'}]",,,30066,"{'1': 1333, '2': 978, '3': 1354, '4': 1955, '5': 6092}",[]
144533,游戏王：决斗链接,"['策略', '二次元', 'OCG', 'TCG', '卡牌', '童年', '游戏王']","[{'type': 'publisher', 'name': '网易游戏'}, {'type': 'author', 'name': 'KONAMI'}]",,,6240,"{'1': 4183, '2': 1699, '3': 1891, '4': 1819, '5': 4051}",[]
171371,灵魂潮汐,"['卡牌', '养成', '二次元', '回合制', '剧情', '策略', '迷宫', '日系', '角色扮演', '收集']","[{'type': 'author', 'name': '鬼脸科技'}]",,,9455,"{'1': 1310, '2': 1071, '3': 1632, '4': 2616, '5': 6771}",[]
