id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
59520,明日之后,"['生存', '多人联机', '末日', '丧尸', '开放世界', '建造', '经营', '沙盒', '3D', '冒险', '探索', '动作', '战斗', '末日生存', '团队合作', '模拟']","[{'type': 'developer', 'name': '网易游戏'}]",,,156287,"{'1': 121903, '2': 14978, '3': 19838, '4': 17087, '5': 60685}",[]
71417,人类跌落梦境,"['魔性', '冒险', '付费下载', '多人联机', 'Steam移植', '移植', '物理', '合作', 'UP主推荐', '动作', '休闲', '解谜', '多人游戏']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '505 Games'}]",￥18,￥18,32993,"{'1': 11441, '2': 3958, '3': 8584, '4': 11119, '5': 48937}",[]
214010,永恒修仙,"['养成', '国风', '水墨', '修仙', '古风', '放置', '文字', '冒险', '竖屏', '仙侠', '角色扮演']","[{'type': 'developer', 'name': '修仙辅导员'}]",,,2506,"{'1': 216, '2': 78, '3': 74, '4': 112, '5': 690}",[]
188743,三国志幻想大陆,"['卡牌', '养成', '三国', '美少女', '回合制', '二次元', '策略', '收集', '冒险']","[{'type': 'developer', 'name': '广州灵犀互动娱乐有限公司'}]",,,10918,"{'1': 3050, '2': 1857, '3': 2716, '4': 4640, '5': 7304}",[]
213181,深空之眼,"['二次元', '科幻', '3D', '高画质', '养成', '动作', '冒险', 'PVE', '日系', 'ARPG', '美少女']","[{'type': 'developer', 'name': '厦门勇仕网络技术有限公司'}]",,,16275,"{'1': 3778, '2': 3743, '3': 9445, '4': 26401, '5': 66969}",[]
11190,艾希,"['打击感', 'UP主推荐', '动作', 'Steam移植', '单机', '2D', '冒险', '横版', 'meta', '独立游戏', '付费下载', '买断制', '多结局']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '幻刃网络'}]",￥18,￥18,160570,"{'1': 1135, '2': 809, '3': 2627, '4': 6500, '5': 103309}",[]
229517,傲剑苍穹,"['放置', '修仙', '单机', '文字', '养成', '竖屏', '冒险', '角色扮演', '回合制', 'MUD', '收集', '策略', '仙侠']","[{'type': 'developer', 'name': '广州千果互动传媒有限公司'}]",,,12551,"{'1': 680, '2': 200, '3': 112, '4': 237, '5': 2027}",[]
171015,重生细胞,"['动作', 'Roguelike', 'Steam移植', '单机', '移植', '像素', '横版', '地牢', '收集', '2D', '独立游戏', '高难度', '打击感', '角色扮演', '内购解锁', '催泪', '支持手柄', '冒险']","[{'type': 'publisher', 'name': '哔哩哔哩游戏'}, {'type': 'author', 'name': '上海幻电'}]",,,15782,"{'1': 4024, '2': 1371, '3': 3687, '4': 6005, '5': 21309}",[]
6239,球球大作战,"['io', 'UP主推荐', '休闲', '刺激', '多人联机', '合作', '冒险']","[{'type': 'developer', 'name': '巨人网络'}]",,,38365,"{'1': 3116, '2': 1079, '3': 2401, '4': 1930, '5': 4779}",[]
10056,崩坏3,"['动作', '二次元', '高画质', '美少女', '3D', '养成', '日系', '国产', 'ARPG', '热血', '多人联机', 'PVE', '冒险']","[{'type': 'developer', 'name': 'miHoYo'}]",,,215493,"{'1': 27089, '2': 12075, '3': 11818, '4': 14872, '5': 56957}",[]
34751,元气骑士,"['Roguelike', '地牢', '像素', 'UP主推荐', '本地联机', '弹幕', '冒险', '多人联机', '独立游戏', '上帝视角']","[{'type': 'author', 'name': '凉屋游戏'}]",,,530245,"{'1': 4005, '2': 1642, '3': 4604, '4': 11193, '5': 86316}",[]
194610,泰拉瑞亚,"['沙盒', '像素', '开放世界', '付费下载', '冒险', 'Steam移植', '多人联机', '移植', '2D', 'DIY', '单机']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '505 Games'}]",￥12,￥18,15454,"{'1': 5109, '2': 1362, '3': 3513, '4': 6133, '5': 54451}",[]
43639,我的世界,"['沙盒', '开放世界', '像素', 'DIY', '建造', '冒险', '合作', '探索', '多人联机', '高自由度']","[{'type': 'publisher', 'name': '网易游戏'}]",,,269789,"{'1': 17225, '2': 5584, '3': 9173, '4': 7614, '5': 36081}",[]
62448,光·遇,"['唯美', '治愈', '艺术', '冒险', '独立游戏', '高画质', '飞行', '自由度高', '3D', '多人游戏']","[{'type': 'publisher', 'name': '网易游戏'}, {'type': 'author', 'name': 'thatgamecompany'}]",,,107413,"{'1': 18527, '2': 10584, '3': 14775, '4': 15650, '5': 35925}",[]
168332,原神,"['开放世界', '二次元', '角色扮演', '养成', '高自由度', '动作', '高画质', 'ARPG', '冒险', '3D', '多人联机', '剧情']","[{'type': 'developer', 'name': 'miHoYo'}]",,,157564,"{'1': 81918, '2': 26936, '3': 29026, '4': 37757, '5': 173902}",[]
212140,仙岛大乱斗,"['卡牌', '国风', '文字', '经营', '冒险', '养成', '竖屏', '修仙', '放置', '角色扮演']","[{'type': 'author', 'name': '小火山科技'}]",,,0,"{'1': 109, '2': 93, '3': 76, '4': 26, '5': 133}",[]
220640,魔镜物语,"['策略', '养成', '竖屏', '收集', '放置', '童话', '卡牌', '冒险', '剧情']","[{'type': 'developer', 'name': 'Yiguo工作室'}]",,,4368,"{'1': 1101, '2': 410, '3': 456, '4': 389, '5': 1609}",[]
152069,7天,"['文字', '剧情', '多结局', '冒险']","[{'type': 'developer', 'name': '深圳酷猫'}]",,,2451,"{'1': 27, '2': 24, '3': 85, '4': 217, '5': 1073}",[]
67396,失落城堡,"['Roguelike', 'Steam移植', '地牢', '动作', '冒险', '独立游戏', '合作', 'UP主推荐', '内购解锁']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': 'Hunter Studio'}]",,,125743,"{'1': 3329, '2': 1566, '3': 4442, '4': 13278, '5': 41398}",[]
148290,另一个伊甸 : 超越时空的猫,"['回合制', '单机', '剧情', '卡牌', '养成', '二次元', '角色扮演', '日系', '冒险']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': 'WFS'}]",,,34284,"{'1': 2382, '2': 1219, '3': 2828, '4': 9252, '5': 35477}",[]
219929,王者战神（测试服）,"['卡牌', '二次元', '养成', '放置', '冒险', '角色扮演', '回合制', '机甲', '策略']","[{'type': 'publisher', 'name': '朋友玩网络'}]",,,0,"{'1': 171, '2': 69, '3': 86, '4': 124, '5': 1165}",[]
192675,幻塔,"['开放世界', '高自由度', '高画质', '角色扮演', '二次元', 'ARPG', '冒险', '动作', '多人联机', 'MMORPG', '支持手柄', '美少女']","[{'type': 'developer', 'name': 'Hotta Studio'}]",,,5270,"{'1': 30635, '2': 11212, '3': 9369, '4': 6377, '5': 22636}",[]
176192,灵魂宝戒,"['策略', '卡牌', '冒险', 'dbg', 'Roguelike']","[{'type': 'publisher', 'name': '深圳市探娱互动科学文化有限公司'}, {'type': 'author', 'name': '工头网络'}]",,,15401,"{'1': 651, '2': 495, '3': 3056, '4': 14582, '5': 26731}",[]
33189,辐射 避难所,"['生存', '经营', '单机', '模拟', '建造', '末日', '模拟经营', 'UP主推荐', '策略', '养成', '冒险', '废土', '横版']","[{'type': 'developer', 'name': '盛趣游戏'}]",,,109022,"{'1': 1095, '2': 458, '3': 1203, '4': 2493, '5': 6026}",[]
