id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
211546,房东模拟器,"['竖屏', '经营', '模拟', '放置', '休闲', '单机', '街机']","[{'type': 'publisher', 'name': '广州市友趣科技有限公司'}, {'type': 'author', 'name': '成都微光互动信息科技有限公司'}]",,,11475,"{'1': 1032, '2': 517, '3': 1408, '4': 2129, '5': 3243}",[]
233580,化妆游戏,"['模拟', '化妆', '休闲']","[{'type': 'developer', 'name': '唯意科技'}]",,,0,"{'1': 119, '2': 22, '3': 19, '4': 11, '5': 23}",[]
186768,鬼畜钢琴,['模拟'],"[{'type': 'author', 'name': '无聊王工作室'}]",,,0,"{'1': 12, '2': 2, '3': 22, '4': 75, '5': 826}",[]
158596,驾考模拟3D,"['驾驶', '模拟']","[{'type': 'developer', 'name': '仙擎科技'}]",,,3387,"{'1': 200, '2': 35, '3': 113, '4': 78, '5': 105}",[]
180918,人生模拟器：中国式人生,"['模拟', '文字', '单机', '养成', '竖屏']","[{'type': 'author', 'name': 'kiwigames'}]",,,14208,"{'1': 2413, '2': 1797, '3': 2007, '4': 997, '5': 1251}",[]
226797,修仙家族模拟器,"['修仙', '文字', '模拟']","[{'type': 'author', 'name': '一起来修仙工作室'}]",,,12313,"{'1': 738, '2': 314, '3': 849, '4': 1495, '5': 4659}",[]
33189,辐射 避难所,"['生存', '经营', '单机', '模拟', '建造', '末日', '模拟经营', 'UP主推荐', '策略', '养成', '冒险', '废土', '横版']","[{'type': 'developer', 'name': '盛趣游戏'}]",,,109022,"{'1': 1095, '2': 458, '3': 1203, '4': 2493, '5': 6026}",[]
59520,明日之后,"['生存', '多人联机', '末日', '丧尸', '开放世界', '建造', '经营', '沙盒', '3D', '冒险', '探索', '动作', '战斗', '末日生存', '团队合作', '模拟']","[{'type': 'developer', 'name': '网易游戏'}]",,,156287,"{'1': 121902, '2': 14978, '3': 19838, '4': 17087, '5': 60686}",[]
216696,开间小店,"['收集', '休闲', '经营', '美食', '模拟经营', '养成', 'Q版', '模拟']","[{'type': 'developer', 'name': '初晰互动'}]",,,2620,"{'1': 154, '2': 91, '3': 215, '4': 187, '5': 394}",[]
179371,江南百景图,"['经营', '模拟', '放置', '国风', '古风', '水墨', '休闲', '多人联机', '建造', '佛系']","[{'type': 'developer', 'name': '椰岛游戏'}]",,,44410,"{'1': 21486, '2': 9870, '3': 9612, '4': 12708, '5': 20425}",[]
212054,海底大猎杀,"['单机', '生存', '养成', '模拟']","[{'type': 'developer', 'name': '香蕉移动游戏'}]",,,0,"{'1': 1451, '2': 184, '3': 215, '4': 149, '5': 652}",[]
193324,楼下的早餐店,"['烹饪', '美食', '经营', '剧情', '模拟']","[{'type': 'developer', 'name': 'YiYo Studios'}]",,,16293,"{'1': 407, '2': 323, '3': 1255, '4': 4551, '5': 14658}",[]
