id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
212744,绝对演绎,"['女性向', '养成', '模拟', '卡牌', '角色扮演', '偶像', '二次元', '演艺圈']","[{'type': 'author', 'name': '网易游戏'}]",,,942,"{'1': 980, '2': 1325, '3': 1679, '4': 1439, '5': 2324}",[]
61106,我做夫人那些年,"['养成', '角色扮演', '橙光', '文字', '女性向', '乙女']","[{'type': 'developer', 'name': '北京六趣网络科技有限公司'}]",,,8565,"{'1': 167, '2': 74, '3': 205, '4': 453, '5': 694}",[]
10606,爱养成2,"['换装', '养成', '剧情', '恋爱', '竖屏', '模拟', '模拟经营', '可爱', '唯美', '女性向', '经营']","[{'type': 'developer', 'name': 'CatCap Studio'}]",,,1144,"{'1': 22, '2': 14, '3': 35, '4': 92, '5': 449}",[]
203239,一千克拉女王,"['女性向', '剧情', '恋爱', '换装', '单机', '职场', '乙女', '养成', '模拟']","[{'type': 'publisher', 'name': '大菠萝'}]",,,0,"{'1': 266, '2': 116, '3': 263, '4': 156, '5': 193}",[]
73024,食物语,"['女性向', '养成', '美食', '国风', '拟人', '二次元', '回合制', 'UP主推荐', '策略', '古风']","[{'type': 'publisher', 'name': '腾讯'}, {'type': 'author', 'name': '广州天梯网络科技有限公司'}]",,,12351,"{'1': 3573, '2': 2627, '3': 4176, '4': 4063, '5': 7027}",[]
150856,精灵之境,"['收集', '养成', '模拟经营', '经营', '女性向', '休闲', '可爱', '放置', '二次元']","[{'type': 'publisher', 'name': '极光计划'}, {'type': 'author', 'name': '北京微笑科技有限公司'}]",,,1875,"{'1': 480, '2': 640, '3': 1022, '4': 1818, '5': 2872}",[]
6965,奇迹暖暖,"['换装', '女性向', '养成', '休闲', '收集', '美少女', '可爱', '闯关', '二次元']","[{'type': 'developer', 'name': '腾讯'}]",,,13244,"{'1': 1006, '2': 562, '3': 1706, '4': 2222, '5': 3659}",[]
195161,花亦山心之月,"['女性向', '养成', '收集', '卡牌', '剧情', '古风', '角色扮演', '捏脸']","[{'type': 'developer', 'name': '朝夕光年'}]",,,1541,"{'1': 1006, '2': 1849, '3': 2428, '4': 1844, '5': 4487}",[]
222712,神仙记事录,"['AVG', '女性向', '恋爱', '休闲', '剧情', '乙女']","[{'type': 'author', 'name': '拉萌游戏工作室'}, {'type': 'publisher', 'name': '冰狮游戏'}]",,,0,"{'1': 23, '2': 40, '3': 98, '4': 311, '5': 1480}",[]
213627,月影别墅,"['AVG', '吸血鬼', '女性向', '剧情', '文字', '乙女', '恋爱']","[{'type': 'author', 'name': '拉萌游戏工作室'}, {'type': 'publisher', 'name': '冰狮游戏'}]",,,0,"{'1': 137, '2': 154, '3': 383, '4': 1128, '5': 4757}",[]
