id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
153717,希望之村,"['Steam移植', '沙盒', 'UP主推荐', '模拟', '角色扮演', '开放世界']","[{'type': 'publisher', 'name': '亿儒科技'}, {'type': 'author', 'name': 'Wereviz AB'}]",,,23748,"{'1': 3099, '2': 1315, '3': 2823, '4': 3586, '5': 5090}",[]
204412,像素时代,"['生存', '像素', '沙盒', '模拟']","[{'type': 'publisher', 'name': '纵艺科技'}]",,,19620,"{'1': 412, '2': 165, '3': 475, '4': 517, '5': 1595}",[]
166653,黑暗与光明手游,"['沙盒', '开放世界', '生存', '多人联机', '高自由度', '驯养', '角色扮演']","[{'type': 'developer', 'name': '蜗牛游戏'}]",,,1859,"{'1': 767, '2': 193, '3': 119, '4': 71, '5': 310}",[]
143110,重装上阵,"['机甲', '沙盒', 'DIY', '高画质', '竞技', '多人联机', '3D']","[{'type': 'developer', 'name': '网易游戏'}]",,,18231,"{'1': 1057, '2': 477, '3': 1142, '4': 2281, '5': 4930}",[]
234472,恐龙小岛,"['沙盒', '多人联机', '生存', '模拟经营', '冒险']","[{'type': 'author', 'name': '森林时代'}, {'type': 'publisher', 'name': '武汉森林时代科技有限公司'}]",,,1220,"{'1': 106, '2': 34, '3': 86, '4': 98, '5': 260}",[]
61333,雷电傲气雄鹰,"['吃鸡', '多人联机', '射击', '高画质', '逃生', '刺激', '动作', '开放世界', '沙盒', '模拟', '3D', '僵尸']","[{'type': 'developer', 'name': '墨一科技'}]",,,357641,"{'1': 4668, '2': 1487, '3': 2398, '4': 2222, '5': 9004}",[]
82246,乐高®无限（共创测试版）,"['乐高', '生存', '沙盒', '多人联机', 'DIY', '高自由度', '建造', '模拟经营', '经营', '3D', '合作']","[{'type': 'developer', 'name': '腾讯'}]",,,13781,"{'1': 903, '2': 538, '3': 1103, '4': 1046, '5': 2252}",[]
51645,创造与魔法,"['开放世界', '沙盒', '建造', 'DIY', '养成', '经营', '模拟经营', '收集', '高自由度', '3D', '模拟']","[{'type': 'publisher', 'name': '英雄互娱'}, {'type': 'author', 'name': '天津五麦科技有限公司'}]",,,117972,"{'1': 6184, '2': 1698, '3': 3309, '4': 3071, '5': 9323}",[]
147513,挨饿荒野,"['生存', '冒险', '沙盒', '单机']","[{'type': 'author', 'name': '快飞工作室'}, {'type': 'publisher', 'name': '良心工作室'}]",,,29809,"{'1': 389, '2': 268, '3': 783, '4': 1584, '5': 2381}",[]
163797,王牌战争,"['生存', '开放世界', '沙盒', '末日', '多人联机', '射击', '冒险', 'TPS']","[{'type': 'author', 'name': '极光工作室'}, {'type': 'publisher', 'name': '英雄互娱'}]",,,18747,"{'1': 7835, '2': 1180, '3': 1252, '4': 851, '5': 2450}",[]
205430,沙盒勇者,"['生存', '沙盒', '竖屏', '单机', '角色扮演', '像素', '冒险']","[{'type': 'developer', 'name': '熊喵独立游戏'}]",,,14518,"{'1': 63, '2': 48, '3': 154, '4': 838, '5': 5867}",[]
83595,阿瑞斯病毒,"['生存', '末日', '单机', '上帝视角', '冒险', '沙盒', '丧尸', '策略']","[{'type': 'publisher', 'name': '青瓷'}, {'type': 'author', 'name': '热区网络'}]",,,43749,"{'1': 1391, '2': 689, '3': 2125, '4': 4348, '5': 9374}",[]
59520,明日之后,"['生存', '多人联机', '末日', '丧尸', '开放世界', '建造', '经营', '沙盒', '3D', '冒险', '探索', '动作', '战斗', '末日生存', '团队合作', '模拟']","[{'type': 'developer', 'name': '网易游戏'}]",,,156287,"{'1': 121902, '2': 14978, '3': 19839, '4': 17088, '5': 60685}",[]
194610,泰拉瑞亚,"['沙盒', '像素', '开放世界', '付费下载', '冒险', 'Steam移植', '多人联机', '移植', '2D', 'DIY', '单机']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '505 Games'}]",￥12,￥18,15455,"{'1': 5108, '2': 1363, '3': 3513, '4': 6133, '5': 54455}",[]
43639,我的世界,"['沙盒', '开放世界', '像素', 'DIY', '建造', '冒险', '合作', '探索', '多人联机', '高自由度']","[{'type': 'publisher', 'name': '网易游戏'}]",,,269790,"{'1': 17226, '2': 5584, '3': 9174, '4': 7614, '5': 36083}",[]
183733,冰原守卫者,"['生存', '建造', '中世纪', '沙盒', '模拟', '经营', '魔幻', '模拟经营', '末日']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': 'LeekBox Studio'}]",,,1327,"{'1': 1181, '2': 648, '3': 1120, '4': 1605, '5': 4399}",[]
62749,沙盒,"['高自由度', '沙盒', '像素', '多人联机', '休闲', 'DIY', '单机']","[{'type': 'publisher', 'name': '东品游戏'}, {'type': 'author', 'name': 'PIXOWL INC.'}]",,,64006,"{'1': 152, '2': 80, '3': 139, '4': 164, '5': 356}",[]
83188,方舟：生存进化,"['生存', '多人联机', '恐龙', 'Steam移植', '开放世界', '高画质', '沙盒', '多人游戏', '冒险', '模拟', '动作', '3D']","[{'type': 'developer', 'name': 'Studio Wildcard'}]",,,295767,"{'1': 1300, '2': 490, '3': 1074, '4': 2048, '5': 20783}",[]
50361,野蛮人大作战,"['io', '像素', 'UP主推荐', '魔性', '休闲', '搞笑', '上帝视角', '多人联机', 'Roguelike', '沙盒', '动作']","[{'type': 'developer', 'name': '杭州电魂网络科技股份有限公司'}]",,,92074,"{'1': 1058, '2': 478, '3': 1189, '4': 1920, '5': 6379}",[]
59770,求生之王,"['吃鸡', '像素', '沙盒', '射击', '动作', '角色扮演', '上帝视角']","[{'type': 'author', 'name': 'Funcity'}]",,,86159,"{'1': 215, '2': 117, '3': 242, '4': 414, '5': 1700}",[]
17420,奶块,"['沙盒', '开放世界', '冒险', '像素', '高自由度', 'DIY', '角色扮演', '建造', '自由交易']","[{'type': 'developer', 'name': '广州华多网络科技有限公司珠海分公司'}]",,,37814,"{'1': 1668, '2': 365, '3': 602, '4': 589, '5': 1544}",[]
172652,我的侠客,"['武侠', '高自由度', '开放世界', '剧情', '沙盒', '角色扮演', '战棋', '国风']","[{'type': 'publisher', 'name': '极光计划'}, {'type': 'author', 'name': '杭州电魂网络科技股份有限公司'}]",,,12015,"{'1': 1851, '2': 1043, '3': 1545, '4': 2569, '5': 4671}",[]
157863,下一站江湖Ⅰ,"['沙盒', '武侠', '角色扮演', '单机', '付费下载', '买断制', '养成']","[{'type': 'publisher', 'name': '搜发互娱'}, {'type': 'author', 'name': '白玉京工作室'}]",￥12,￥40,9496,"{'1': 818, '2': 512, '3': 1527, '4': 2707, '5': 5914}",[]
