id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
57178,像素射击 - Cops N Robbers,"['像素', '射击', '吃鸡', 'FPS', '动作', '3D', '卡通', 'DIY']","[{'type': 'developer', 'name': 'Ohayoo'}]",,,22887,"{'1': 1192, '2': 439, '3': 893, '4': 1151, '5': 2671}",[]
187384,小动物之星,"['射击', 'Steam移植', '2D', '动物', '动作']","[{'type': 'developer', 'name': '深圳市创梦天地科技有限公司'}]",,,14972,"{'1': 297, '2': 144, '3': 513, '4': 1002, '5': 2739}",[]
79661,机动都市阿尔法,"['射击', '二次元', '机甲', '动作', '美少女', '生存', '日系', '3D', 'TPS']","[{'type': 'developer', 'name': '网易游戏'}]",,,6629,"{'1': 1424, '2': 798, '3': 1551, '4': 1659, '5': 4432}",[]
224120,逃离克里夫,"['多人联机', '硬核', '射击', '动作']","[{'type': 'author', 'name': '上帝压狗工作室'}]",,,8278,"{'1': 3592, '2': 383, '3': 565, '4': 364, '5': 1143}",[]
222638,战地1914,"['战争', '射击', '角色扮演']","[{'type': 'developer', 'name': '非对称'}]",,,2620,"{'1': 939, '2': 230, '3': 427, '4': 424, '5': 1033}",[]
85108,王牌战士,"['FPS', '射击', '竞技', '5v5', '合作', '团队合作']","[{'type': 'developer', 'name': '腾讯'}]",,,33518,"{'1': 6468, '2': 2715, '3': 5937, '4': 8818, '5': 17097}",[]
77796,我的勇者,"['角色扮演', '像素', 'Roguelike', '地牢', '冒险', '多人联机', '弹幕', 'UP主推荐', '射击']","[{'type': 'developer', 'name': '魔力数娱'}]",,,35302,"{'1': 7241, '2': 3375, '3': 4071, '4': 3121, '5': 6091}",[]
139301,使命召唤手游,"['FPS', '高画质', '射击', '动作', '合作', '支持手柄', '竞技', '团队合作']","[{'type': 'developer', 'name': '腾讯'}]",,,31041,"{'1': 7750, '2': 3104, '3': 6766, '4': 11308, '5': 28101}",[]
235420,枪战特训2：激战,"['FPS', '射击', '动作']","[{'type': 'developer', 'name': '睡鲨工作室'}]",,,0,"{'1': 435, '2': 115, '3': 188, '4': 258, '5': 541}",[]
81375,和平精英（体验服）,"['吃鸡', '多人联机', '射击', '高画质', '3D']","[{'type': 'developer', 'name': '腾讯'}]",,,2,"{'1': 1504, '2': 452, '3': 590, '4': 804, '5': 7208}",[]
205608,T3,"['射击', '竞技', '动作']","[{'type': 'developer', 'name': '心动'}]",,,1555,"{'1': 2751, '2': 1390, '3': 3430, '4': 4599, '5': 9197}",[]
229870,枪火重生,"['Steam移植', '内购解锁', '射击', 'Roguelike', '动作']","[{'type': 'developer', 'name': '多益网络有限公司'}]",,,1057,"{'1': 1934, '2': 692, '3': 627, '4': 826, '5': 2457}",[]
137852,香肠派对（先行服）,"['吃鸡', '射击', '多人联机', '战斗', '可爱']","[{'type': 'author', 'name': '真有趣游戏'}, {'type': 'publisher', 'name': '心动'}]",,,80654,"{'1': 5334, '2': 1677, '3': 3092, '4': 6019, '5': 44387}",[]
70056,和平精英,"['多人联机', '射击', 'FPS', 'PVP', '竞技', 'TPS', '3D', '团队合作', '合作', '第三人称视角']","[{'type': 'developer', 'name': '腾讯'}]",,,1386489,"{'1': 33890, '2': 9114, '3': 17615, '4': 24457, '5': 85460}",[]
58881,香肠派对,"['射击', '吃鸡', '战斗', '多人联机', '卡通', '合作', '团队合作', 'UP主推荐', '竞技', 'TPS']","[{'type': 'author', 'name': '真有趣游戏'}, {'type': 'publisher', 'name': '心动'}]",,,1596758,"{'1': 55329, '2': 15485, '3': 33484, '4': 51016, '5': 307488}",[]
73048,量子特攻,"['射击', '高画质', '捏脸', '科幻', '3D']","[{'type': 'developer', 'name': '网易游戏'}]",,,15876,"{'1': 1982, '2': 899, '3': 1932, '4': 2086, '5': 4144}",[]
