id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
143664,江湖悠悠,"['武侠', '角色扮演', '休闲', '养成', '放置', '佛系', '古风', '治愈', '种田', '收集', '剧情']","[{'type': 'developer', 'name': '武汉网贤'}]",,,27154,"{'1': 2789, '2': 3628, '3': 3134, '4': 5590, '5': 15915}",[]
169054,烟雨江湖,"['武侠', '单机', '角色扮演', '回合制', '国风']","[{'type': 'publisher', 'name': '杭州西米'}, {'type': 'author', 'name': '杭州蓝鲸游戏'}]",,,29880,"{'1': 2620, '2': 725, '3': 1218, '4': 1943, '5': 5524}",[]
179489,剑侠传奇,"['放置', '古风', '收集', '武侠', '养成', '角色扮演', '冒险']","[{'type': 'developer', 'name': '小黑龙网络'}]",,,2696,"{'1': 1504, '2': 433, '3': 733, '4': 1821, '5': 8527}",[]
183784,这就是江湖,"['文字', '放置', '武侠']","[{'type': 'developer', 'name': '尘泥游戏'}]",,,4310,"{'1': 393, '2': 169, '3': 473, '4': 892, '5': 3525}",[]
203652,我的门派,"['模拟经营', '经营', '养成', '修仙', '武侠', '国风', '模拟', '探索']","[{'type': 'author', 'name': '白鲸工作室'}]",,,5914,"{'1': 4069, '2': 2679, '3': 1749, '4': 1775, '5': 3499}",[]
45631,汉家江湖,"['武侠', '角色扮演', '战棋', '捏脸', '国风', '独立游戏', '回合制', '剧情', '冒险', '多人联机']","[{'type': 'developer', 'name': '汉家松鼠工作室'}]",,,100691,"{'1': 1784, '2': 1432, '3': 2167, '4': 7435, '5': 26229}",[]
130630,天涯明月刀,"['捏脸', '武侠', '高画质', 'MMORPG', '古风', '角色扮演', '高自由度', '3D', '动作', '多人联机', '国风', '开放世界']","[{'type': 'developer', 'name': '腾讯'}]",,,23438,"{'1': 6252, '2': 3368, '3': 5565, '4': 5800, '5': 14391}",[]
199263,全民武馆,"['回合制', '收集', '养成', 'Q版', '竖屏', '放置', '策略', '武侠', '卡牌']","[{'type': 'publisher', 'name': '炫启Game'}]",,,0,"{'1': 1375, '2': 559, '3': 329, '4': 398, '5': 5193}",[]
50500,一梦江湖,"['高自由度', '武侠', 'MMORPG', '高画质', '捏脸', '古风', '角色扮演', '3D', '开放世界', '多人联机']","[{'type': 'developer', 'name': '网易游戏'}]",,,209157,"{'1': 6860, '2': 3556, '3': 9589, '4': 11891, '5': 21675}",[]
158750,弈剑行,"['动作', '多人联机', '武侠', 'PVP', '高画质', '硬核']","[{'type': 'developer', 'name': '青度互娱'}]",,,5057,"{'1': 1137, '2': 350, '3': 1109, '4': 1948, '5': 10714}",[]
152653,武侠乂,"['武侠', '动作', '吃鸡', '多人联机', '打击感', '角色扮演', '高画质']","[{'type': 'developer', 'name': 'DreamGameStudio'}]",,,6741,"{'1': 6303, '2': 2000, '3': 2586, '4': 2317, '5': 10046}",[]
135341,仗剑天涯,"['文字', 'MUD', '武侠', '放置', '角色扮演']","[{'type': 'developer', 'name': '北京掌握互娱科技有限公司'}]",,,0,"{'1': 254, '2': 73, '3': 109, '4': 132, '5': 395}",[]
225407,刀剑江湖录,"['养成', '文字', '单机', '竖屏', '武侠', '放置', '角色扮演']","[{'type': 'developer', 'name': '咖啡沫工作室'}]",,,0,"{'1': 35, '2': 4, '3': 21, '4': 39, '5': 121}",[]
208351,剑墨江湖,"['文字', '武侠', '放置', '竖屏', '国风', '古风', '模拟', '单机', 'MUD', '角色扮演']","[{'type': 'developer', 'name': '剑侠客'}]",,,0,"{'1': 152, '2': 55, '3': 57, '4': 158, '5': 570}",[]
159465,一念逍遥,"['文字', '养成', '修仙', '竖屏', '角色扮演', '多人联机', '武侠', '放置', '国风']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': '星云工作室'}]",,,24942,"{'1': 8372, '2': 3864, '3': 7168, '4': 6985, '5': 13312}",[]
84458,新笑傲江湖,"['武侠', '角色扮演', 'MMORPG', '国风', '多人联机', '剧情']","[{'type': 'developer', 'name': '完美世界游戏'}]",,,13367,"{'1': 6589, '2': 1631, '3': 1320, '4': 1114, '5': 2589}",[]
189028,天地劫：幽城再临,"['角色扮演', '武侠', '战棋', '国风', '卡牌', '回合制', '二次元', '魔幻', '多人联机', '剧情', '高画质', '养成']","[{'type': 'developer', 'name': '紫龙游戏'}]",,,32398,"{'1': 4165, '2': 3256, '3': 3907, '4': 3453, '5': 7431}",[]
157863,下一站江湖Ⅰ,"['沙盒', '武侠', '角色扮演', '单机', '付费下载', '买断制', '养成']","[{'type': 'publisher', 'name': '搜发互娱'}, {'type': 'author', 'name': '白玉京工作室'}]",￥12,￥40,9496,"{'1': 818, '2': 512, '3': 1527, '4': 2707, '5': 5914}",[]
159526,青璃,"['高画质', '单机', '唯美', '独立游戏', '冒险', '解谜', '武侠', '国风']","[{'type': 'developer', 'name': '网易游戏'}]",,,24103,"{'1': 451, '2': 533, '3': 2000, '4': 3098, '5': 3104}",[]
11981,放置江湖,"['文字', '武侠', '放置', '角色扮演', '养成', '古风', 'MUD', '竖屏', '国风', '冒险', '修仙']","[{'type': 'developer', 'name': '小猴跳跳'}]",,,61121,"{'1': 1986, '2': 774, '3': 1696, '4': 2918, '5': 6617}",[]
137413,濡沫江湖,"['武侠', '角色扮演', '单机', '放置', '回合制', '养成', '古风', '剧情', '国风', '独立游戏']","[{'type': 'developer', 'name': '北京络汀科技有限公司'}]",,,32030,"{'1': 1071, '2': 337, '3': 756, '4': 1016, '5': 4200}",[]
154690,影之刃3,"['动作', '角色扮演', '武侠', '横版', '剧情', '水墨', '多人联机', '养成']","[{'type': 'developer', 'name': '灵游坊'}]",,,17427,"{'1': 5890, '2': 4022, '3': 2859, '4': 2794, '5': 6411}",[]
9811,说剑,"['单机', '水墨', '武侠', '付费下载', '国风', '独立游戏', 'UP主推荐', '动作']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': 'Sunhead Games'}]",￥1,￥1,21509,"{'1': 1428, '2': 596, '3': 1392, '4': 2924, '5': 9820}",[]
218023,武功来了,"['策略', '竞技', '塔防', '合成', '放置', '武侠', '国风', '休闲']","[{'type': 'publisher', 'name': '上海瞬娱网络科技有限公司'}]",,,1301,"{'1': 60, '2': 36, '3': 35, '4': 22, '5': 190}",[]
56782,暴走英雄坛,"['武侠', '放置', '文字', '搞笑', '角色扮演', '手绘', '休闲', 'UP主推荐', '极简']","[{'type': 'developer', 'name': '上海晓枫网络科技有限公司'}]",,,68857,"{'1': 3705, '2': 968, '3': 1438, '4': 1762, '5': 8073}",[]
70215,想不想修真,"['竖屏', '养成', '修仙', '文字', '放置', '武侠']","[{'type': 'developer', 'name': '鬼市管理员'}]",,,34508,"{'1': 4189, '2': 1504, '3': 2968, '4': 4087, '5': 13341}",[]
186527,我来自江湖,"['单机', '武侠', '文字']","[{'type': 'developer', 'name': '游素科技'}]",,,0,"{'1': 60, '2': 25, '3': 56, '4': 111, '5': 394}",[]
229871,行侠放置OL,"['武侠', '放置', '养成', '休闲', '文字', '竖屏', '角色扮演']","[{'type': 'author', 'name': 'Sicuing'}]",,,0,"{'1': 87, '2': 41, '3': 36, '4': 26, '5': 509}",[]
176270,我功夫特牛,"['Roguelike', '火柴人', '休闲', '解压', '武侠', '动作']","[{'type': 'publisher', 'name': 'Ohayoo'}, {'type': 'author', 'name': 'PeakX Games'}]",,,31106,"{'1': 730, '2': 362, '3': 920, '4': 1212, '5': 1670}",[]
228601,行侠放置2,"['文字', '养成', '国风', '武侠', '放置', '冒险', '单机', '佛系', '修仙', '角色扮演', '仙侠', '收集', '极简', 'MUD']","[{'type': 'author', 'name': 'Sicuing'}]",,,0,"{'1': 128, '2': 62, '3': 64, '4': 73, '5': 1064}",[]
226053,单机群侠传,"['单机', '武侠', '角色扮演']","[{'type': 'developer', 'name': '深圳市元计划科技有限公司'}]",,,0,"{'1': 55, '2': 39, '3': 35, '4': 38, '5': 175}",[]
219167,白蛇雷劫,"['冒险', '动作', '古风', '武侠', 'MMORPG', '角色扮演']","[{'type': 'developer', 'name': '旭日尚荣'}]",,,0,"{'1': 57, '2': 22, '3': 14, '4': 33, '5': 128}",[]
14313,江湖风云录,"['文字', '武侠']","[{'type': 'publisher', 'name': '北京络汀科技有限公司'}, {'type': 'author', 'name': '杭州蓝鲸工作室'}]",,,1368,"{'1': 169, '2': 68, '3': 142, '4': 144, '5': 389}",[]
205928,龙印OL,"['自由交易', '武侠', '竖屏', '角色扮演']","[{'type': 'developer', 'name': '武汉诺克斯信息技术有限公司'}]",,,1635,"{'1': 112, '2': 29, '3': 56, '4': 37, '5': 460}",[]
230859,剑与江山,"['武侠', '休闲']","[{'type': 'developer', 'name': '千初游戏'}]",,,0,"{'1': 19, '2': 7, '3': 10, '4': 8, '5': 55}",[]
74704,古今江湖,"['武侠', '策略', '卡牌', 'Roguelike', 'dbg', '单机', 'roguelite', '国风', '冒险', '探索']","[{'type': 'publisher', 'name': '3K独游屋'}, {'type': 'author', 'name': '灵羽游戏'}]",,,72268,"{'1': 642, '2': 378, '3': 991, '4': 2204, '5': 5119}",[]
