id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
52276,纪念碑谷2,"['烧脑', '益智', '视错觉', '几何', '解谜', '休闲', '唯美', '单机', '艺术', '治愈', '冒险', 'UP主推荐', '竖屏', '亲情']","[{'type': 'publisher', 'name': '极光计划'}]",,,36934,"{'1': 539, '2': 271, '3': 898, '4': 2040, '5': 9756}",[]
229247,胖鸭奶茶店,"['竖屏', '模拟经营', '休闲']","[{'type': 'author', 'name': '上海猪玩猪乐动漫工作室'}, {'type': 'publisher', 'name': '唤境激励计划'}]",,,0,"{'1': 30, '2': 13, '3': 40, '4': 52, '5': 242}",[]
71417,人类跌落梦境,"['魔性', '冒险', '付费下载', '多人联机', 'Steam移植', '移植', '物理', '合作', 'UP主推荐', '动作', '休闲', '解谜', '多人游戏']","[{'type': 'publisher', 'name': '心动'}, {'type': 'author', 'name': '505 Games'}]",￥18,￥18,32993,"{'1': 11441, '2': 3958, '3': 8584, '4': 11119, '5': 48937}",[]
151528,扫雷F,"['益智', '竖屏', '单机', '休闲']","[{'type': 'developer', 'name': '光年游戏'}]",,,2061,"{'1': 178, '2': 146, '3': 449, '4': 976, '5': 2378}",[]
233002,名将之路,"['养成', '三国', '休闲', '卡牌', '回合制', '收集', '策略', '放置', '冒险', '角色扮演', '多人联机', '模拟经营']","[{'type': 'publisher', 'name': '拓洋洋工作室'}]",,,0,"{'1': 63, '2': 22, '3': 31, '4': 42, '5': 201}",[]
216696,开间小店,"['收集', '休闲', '经营', '美食', '模拟经营', '养成', 'Q版', '模拟']","[{'type': 'developer', 'name': '初晰互动'}]",,,2623,"{'1': 154, '2': 91, '3': 215, '4': 187, '5': 394}",[]
54031,植物大战僵尸2,"['僵尸', '塔防', '单机', '策略', '休闲', '植物', '卡牌']","[{'type': 'publisher', 'name': '拓维游戏'}, {'type': 'author', 'name': 'EA'}]",,,32561,"{'1': 5135, '2': 1297, '3': 2018, '4': 1674, '5': 3274}",[]
179371,江南百景图,"['经营', '模拟', '放置', '国风', '古风', '水墨', '休闲', '多人联机', '建造', '佛系']","[{'type': 'developer', 'name': '椰岛游戏'}]",,,44411,"{'1': 21485, '2': 9871, '3': 9613, '4': 12708, '5': 20425}",[]
219923,太空杀,"['益智', '狼人杀', '休闲']","[{'type': 'developer', 'name': '海南嘿嘿'}]",,,0,"{'1': 1903, '2': 291, '3': 452, '4': 374, '5': 1521}",[]
235797,贪吃的苹果蛇,"['单机', '解谜', '休闲']","[{'type': 'publisher', 'name': '成都尚泽科技有限公司'}]",,,0,"{'1': 97, '2': 26, '3': 26, '4': 34, '5': 127}",[]
