id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
219929,王者战神（测试服）,"['卡牌', '二次元', '养成', '放置', '冒险', '角色扮演', '回合制', '机甲', '策略']","[{'type': 'publisher', 'name': '朋友玩网络'}]",,,0,"{'1': 171, '2': 69, '3': 86, '4': 124, '5': 1165}",[]
233002,名将之路,"['养成', '三国', '休闲', '卡牌', '回合制', '收集', '策略', '放置', '冒险', '角色扮演', '多人联机', '模拟经营']","[{'type': 'publisher', 'name': '拓洋洋工作室'}]",,,0,"{'1': 63, '2': 22, '3': 31, '4': 42, '5': 201}",[]
212370,英雄你太美,"['单机', '养成', '放置', '竖屏']","[{'type': 'developer', 'name': '家游工作室'}]",,,0,"{'1': 143, '2': 66, '3': 158, '4': 250, '5': 1165}",[]
136113,魔灵军团,"['养成', '卡牌', '塔防', '竖屏', '收集', '策略', '国风', '放置', '角色扮演']","[{'type': 'developer', 'name': '平头哥游戏'}]",,,613,"{'1': 198, '2': 39, '3': 24, '4': 9, '5': 912}",[]
212140,仙岛大乱斗,"['卡牌', '国风', '文字', '经营', '冒险', '养成', '竖屏', '修仙', '放置', '角色扮演']","[{'type': 'author', 'name': '小火山科技'}]",,,0,"{'1': 109, '2': 93, '3': 76, '4': 26, '5': 133}",[]
229517,傲剑苍穹,"['放置', '修仙', '单机', '文字', '养成', '竖屏', '冒险', '角色扮演', '回合制', 'MUD', '收集', '策略', '仙侠']","[{'type': 'developer', 'name': '广州千果互动传媒有限公司'}]",,,12573,"{'1': 680, '2': 200, '3': 112, '4': 237, '5': 2027}",[]
194962,异次元主公,"['冒险', '策略', '3D', '卡牌', '养成', '二次元', '角色扮演']","[{'type': 'developer', 'name': '米花互动'}]",,,715,"{'1': 230, '2': 158, '3': 104, '4': 75, '5': 368}",[]
54693,克隆战争,"['卡牌', '美漫', '放置', '养成', '废土', '收集', '回合制', '科幻', '多人联机', '朋克']","[{'type': 'developer', 'name': 'FT Games'}]",,,30416,"{'1': 446, '2': 284, '3': 615, '4': 1070, '5': 1635}",[]
214010,永恒修仙,"['养成', '国风', '水墨', '修仙', '古风', '放置', '文字', '冒险', '竖屏', '仙侠', '角色扮演']","[{'type': 'developer', 'name': '修仙辅导员'}]",,,2506,"{'1': 216, '2': 78, '3': 74, '4': 112, '5': 690}",[]
10056,崩坏3,"['动作', '二次元', '高画质', '美少女', '3D', '养成', '日系', '国产', 'ARPG', '热血', '多人联机', 'PVE', '冒险']","[{'type': 'developer', 'name': 'miHoYo'}]",,,215495,"{'1': 27088, '2': 12075, '3': 11820, '4': 14872, '5': 56957}",[]
70253,明日方舟,"['塔防', '二次元', '养成', '美少女', '策略', '日系', '硬核', 'UP主推荐', '收集', '废土', '拟人']","[{'type': 'developer', 'name': '鹰角网络'}]",,,135221,"{'1': 23943, '2': 13453, '3': 12551, '4': 22609, '5': 89358}",[]
225407,刀剑江湖录,"['养成', '文字', '单机', '竖屏', '武侠', '放置', '角色扮演']","[{'type': 'developer', 'name': '咖啡沫工作室'}]",,,0,"{'1': 35, '2': 4, '3': 21, '4': 39, '5': 121}",[]
159465,一念逍遥,"['文字', '养成', '修仙', '竖屏', '角色扮演', '多人联机', '武侠', '放置', '国风']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': '星云工作室'}]",,,24944,"{'1': 8372, '2': 3864, '3': 7168, '4': 6985, '5': 13312}",[]
130651,战双帕弥什,"['动作', '高画质', '二次元', '美少女', 'ARPG', '3D', '养成', '高难度', '科幻', '末日', 'UP主推荐', '支持手柄', '多人联机']","[{'type': 'author', 'name': '库洛游戏'}]",,,57540,"{'1': 17637, '2': 11057, '3': 12274, '4': 20514, '5': 56243}",[]
168332,原神,"['开放世界', '二次元', '角色扮演', '养成', '高自由度', '动作', '高画质', 'ARPG', '冒险', '3D', '多人联机', '剧情']","[{'type': 'developer', 'name': 'miHoYo'}]",,,157586,"{'1': 81919, '2': 26934, '3': 29028, '4': 37757, '5': 173905}",[]
186039,无极仙途,"['修仙', '放置', '文字', '养成', '竖屏', '经营', '角色扮演', '国风']","[{'type': 'developer', 'name': '风之力游戏'}]",,,40132,"{'1': 1349, '2': 1099, '3': 1612, '4': 6899, '5': 24073}",[]
173797,时空中的绘旅人,"['乙女', '剧情', '女性向', '卡牌', '恋爱', '高画质', '养成', '二次元']","[{'type': 'developer', 'name': '网易游戏'}]",,,5162,"{'1': 459, '2': 531, '3': 1441, '4': 2522, '5': 9074}",[]
220640,魔镜物语,"['策略', '养成', '竖屏', '收集', '放置', '童话', '卡牌', '冒险', '剧情']","[{'type': 'developer', 'name': 'Yiguo工作室'}]",,,4370,"{'1': 1101, '2': 411, '3': 456, '4': 389, '5': 1609}",[]
33189,辐射 避难所,"['生存', '经营', '单机', '模拟', '建造', '末日', '模拟经营', 'UP主推荐', '策略', '养成', '冒险', '废土', '横版']","[{'type': 'developer', 'name': '盛趣游戏'}]",,,109023,"{'1': 1095, '2': 458, '3': 1203, '4': 2493, '5': 6026}",[]
222667,浮岛大决战,"['养成', '收集', '塔防', '竖屏', '策略', '放置', '休闲', 'PVP', '闯关', '多人联机']","[{'type': 'author', 'name': '树枝互动'}]",,,0,"{'1': 160, '2': 66, '3': 101, '4': 106, '5': 570}",[]
212054,海底大猎杀,"['单机', '生存', '养成', '模拟']","[{'type': 'developer', 'name': '香蕉移动游戏'}]",,,0,"{'1': 1451, '2': 184, '3': 215, '4': 149, '5': 652}",[]
