id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
223782,我的游戏天赋,"['单机', '休闲', '益智']","[{'type': 'author', 'name': '熔核工作室'}]",,,1876,"{'1': 55, '2': 44, '3': 136, '4': 523, '5': 1412}",[]
12472,魔塔,"['单机', '策略', '益智', '地牢', '竖屏', '冒险', '角色扮演', '美少女', '解谜']","[{'type': 'developer', 'name': 'CatCap Studio'}]",,,1660,"{'1': 62, '2': 19, '3': 46, '4': 59, '5': 64}",[]
209303,数独清SodoCool,"['数独', '单机', '益智']","[{'type': 'publisher', 'name': '召合网络'}, {'type': 'author', 'name': 'Apinsky'}]",,,2388,"{'1': 17, '2': 8, '3': 73, '4': 189, '5': 1117}",[]
15463,艾彼,"['单机', '解谜', '独立游戏', '末日', '治愈', '益智', 'UP主推荐', '冒险', '剧情']","[{'type': 'developer', 'name': '莉莉丝游戏'}]",,,17761,"{'1': 618, '2': 229, '3': 654, '4': 1691, '5': 5020}",[]
233266,欧德里安,['益智'],"[{'type': 'author', 'name': '失衡商店'}]",,,0,"{'1': 1, '2': 0, '3': 7, '4': 16, '5': 83}",[]
231220,房间的秘密,"['单机', '手绘', '解谜', '益智']","[{'type': 'author', 'name': '无面人工作室'}]",,,10685,"{'1': 83, '2': 35, '3': 123, '4': 558, '5': 4197}",[]
55012,狼人杀,"['多人联机', '狼人杀', '益智', '休闲', '桌面和棋类', '推理', '竖屏', '桌游']","[{'type': 'publisher', 'name': '网易游戏'}, {'type': 'author', 'name': '狼人杀（海南）文化传媒有限公司'}]",,,13019,"{'1': 1343, '2': 527, '3': 1063, '4': 1202, '5': 1956}",[]
18356,纪念碑谷,"['益智', '几何', '视错觉', '唯美', '单机', '解谜', '烧脑', '艺术', '冒险', '高画质', '治愈', 'UP主推荐', 'AR', '竖屏']","[{'type': 'publisher', 'name': '深圳市创梦天地科技有限公司'}]",,,16494,"{'1': 166, '2': 39, '3': 230, '4': 794, '5': 16769}",[]
195274,就是要整整齐齐,['益智'],"[{'type': 'developer', 'name': 'ZPLAY'}]",,,172,"{'1': 12, '2': 8, '3': 16, '4': 17, '5': 26}",[]
215953,你已经猜到结局了吗,"['文字', '单机', '解谜', '益智', '需家长陪同', '二次元']","[{'type': 'developer', 'name': '橘音游戏'}]",,,5096,"{'1': 75, '2': 85, '3': 210, '4': 722, '5': 4176}",[]
214602,生存闯关（测试服）,"['单机', '休闲', '益智']","[{'type': 'developer', 'name': '有趣工作室'}]",,,1907,"{'1': 744, '2': 299, '3': 1154, '4': 1005, '5': 1665}",[]
52276,纪念碑谷2,"['烧脑', '益智', '视错觉', '几何', '解谜', '休闲', '唯美', '单机', '艺术', '治愈', '冒险', 'UP主推荐', '竖屏', '亲情']","[{'type': 'publisher', 'name': '极光计划'}]",,,36934,"{'1': 539, '2': 271, '3': 898, '4': 2040, '5': 9756}",[]
200184,2048清,"['单机', '竖屏', '消除', '休闲', '益智']","[{'type': 'publisher', 'name': '召合网络'}, {'type': 'author', 'name': 'Apinsky'}]",,,6170,"{'1': 27, '2': 8, '3': 139, '4': 345, '5': 5450}",[]
151528,扫雷F,"['益智', '竖屏', '单机', '休闲']","[{'type': 'developer', 'name': '光年游戏'}]",,,2061,"{'1': 178, '2': 146, '3': 449, '4': 976, '5': 2378}",[]
219923,太空杀,"['益智', '狼人杀', '休闲']","[{'type': 'developer', 'name': '海南嘿嘿'}]",,,0,"{'1': 1904, '2': 291, '3': 452, '4': 374, '5': 1521}",[]
152964,匠木,"['传统文化', '独立游戏', '国风', '解谜', '功能性游戏', '付费下载', '烧脑', '竖屏', '益智']","[{'type': 'publisher', 'name': '雷霆游戏'}, {'type': 'author', 'name': '东极六感'}]",,,10523,"{'1': 181, '2': 84, '3': 313, '4': 952, '5': 4558}",[]
223750,何处,"['找茬', '休闲', '唯美', '益智']","[{'type': 'developer', 'name': 'Pita Game'}]",,,0,"{'1': 37, '2': 31, '3': 128, '4': 193, '5': 406}",[]
234416,数独星空,"['烧脑', '休闲', '数独', '益智']","[{'type': 'developer', 'name': '何止游戏'}]",,,571,"{'1': 16, '2': 3, '3': 10, '4': 16, '5': 72}",[]
211667,魔法拼图,"['拼图', '卡通', '益智']","[{'type': 'developer', 'name': 'ZiMAD'}]",,,547,"{'1': 150, '2': 119, '3': 205, '4': 229, '5': 268}",[]
187238,Imaginary Space,"['烧脑', '益智', '几何', '休闲']","[{'type': 'developer', 'name': '四月的小白'}]",,,0,"{'1': 9, '2': 7, '3': 59, '4': 257, '5': 1518}",[]
191832,不稳定的2048,"['合成', '消除', '单机', '益智', '休闲']","[{'type': 'developer', 'name': '无聊的策划盆友们'}]",,,253,"{'1': 12, '2': 14, '3': 73, '4': 207, '5': 533}",[]
154394,魔方,"['高自由度', '模拟', '真实模拟', '应用', '烧脑', '益智']","[{'type': 'developer', 'name': 'APPTUTTi'}]",,,0,"{'1': 277, '2': 60, '3': 86, '4': 31, '5': 70}",[]
