id,name,tags,companies,current_price,original_price,downloads,vote_info,comment
212893,Twirdora,"['音游', '节奏']","[{'type': 'author', 'name': 'Pandox Project'}]",,,0,"{'1': 15, '2': 33, '3': 110, '4': 256, '5': 389}",[]
7092,兰空VOEZ典藏版,"['音游', '高画质', '单机', '雷亚', '唯美', '日系', '恋爱']","[{'type': 'publisher', 'name': '龙渊网络'}, {'type': 'author', 'name': '雷亚游戏 Rayark Inc.'}]",,,22034,"{'1': 381, '2': 186, '3': 528, '4': 1069, '5': 3255}",[]
207566,不休的音符,"['节奏', '音游', '休闲']","[{'type': 'developer', 'name': '北京慕远科技有限公司'}]",,,1096,"{'1': 368, '2': 205, '3': 249, '4': 149, '5': 236}",[]
6758,音乐世界,"['音游', '节奏', '唯美', '催泪']","[{'type': 'publisher', 'name': '龙渊网络'}, {'type': 'author', 'name': '雷亚游戏 Rayark Inc.'}]",,,10638,"{'1': 137, '2': 67, '3': 191, '4': 415, '5': 2812}",[]
70912,QQ炫舞,"['换装', '舞蹈', '音游', '3D']","[{'type': 'developer', 'name': '腾讯'}]",,,17960,"{'1': 1307, '2': 640, '3': 1336, '4': 1069, '5': 1908}",[]
220794,节奏音乐大师,['音游'],"[{'type': 'developer', 'name': '优量'}]",,,0,"{'1': 379, '2': 113, '3': 142, '4': 89, '5': 190}",[]
6759,古树旋律,"['音游', '治愈', '唯美', '催泪', '节奏']","[{'type': 'publisher', 'name': '龙渊网络'}, {'type': 'author', 'name': '雷亚游戏 Rayark Inc.'}]",,,17435,"{'1': 220, '2': 113, '3': 385, '4': 773, '5': 6176}",[]
2179,永不言弃!!2,"['街机', '催泪', '单机', '音游']","[{'type': 'developer', 'name': '东品游戏'}]",,,8647,"{'1': 224, '2': 89, '3': 271, '4': 300, '5': 469}",[]
67848,梦想协奏曲！少女乐团派对！,"['美少女', '音游', '日系', '二次元', '多人联机', 'UP主推荐']","[{'type': 'developer', 'name': '哔哩哔哩游戏'}]",,,10500,"{'1': 184, '2': 163, '3': 621, '4': 1414, '5': 5571}",[]
194778,Orzmic,"['音游', '单机', '二次元', '手速', '节奏']","[{'type': 'developer', 'name': 'BTWorks'}]",,,858,"{'1': 59, '2': 76, '3': 364, '4': 874, '5': 1457}",[]
