name,id,stat
原神,168332,8.6
香肠派对,58881,9.0
王者荣耀,2301,5.7
明日方舟,70253,8.1
崩坏3,10056,6.4
金铲铲之战,176937,8.2
英雄联盟手游,176911,8.0
部落与弯刀,131263,8.7
和平精英,70056,7.2
战双帕弥什,130651,8.6
Muse Dash 喵斯快跑,60809,9.2
泰拉瑞亚,194610,9.3
火影忍者,2247,6.7
Phigros,165287,9.7
光·遇,62448,7.6
碧蓝航线,31597,9.4
深空之眼,213181,8.5
元气骑士,34751,7.9
航海王热血航线,195514,7.5
使命召唤手游,139301,7.9
坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险,149161,8.4
九重试炼,232820,8.1
曙光英雄,151852,6.4
一念逍遥,159465,7.0
光与夜之恋,186316,6.9
未定事件簿,172095,7.6
阴阳师,12492,7.8
逃跑吧！少年,99224,7.8
武侠乂,152653,6.6
派对之星,202514,7.6
我的世界,43639,6.2
闪耀暖暖,84851,6.7
重生细胞,171015,8.8
另一个伊甸 : 超越时空的猫,148290,8.9
三国志幻想大陆,188743,8.0
斗罗大陆：魂师对决,211270,7.2
最强蜗牛,187376,6.3
第五人格,49995,7.9
穿越火线：枪战王者,2318,6.2
公主连结Re:Dive,139421,8.6
炉石传说,213,6.3
三国杀,7035,3.1
忍者必须死3,79068,5.9
T3,205608,7.6
命运-冠位指定,12982,8.3
灵魂潮汐,171371,8.4
帕斯卡契约,133336,9.2
少女前线：云图计划,190929,7.9
决战！平安京,61620,6.3
月圆之夜,58885,9.6
枪火重生,229870,8.0
浣熊不高兴,231197,8.0
我的勇者,77796,6.3
当代人生,228286,8.4
汉家江湖,45631,8.1
玛娜希斯回响,177582,6.2
QQ飞车,55618,7.2
道友请留步,14461,8.7
我想成为创造者,144287,9.7
时空中的绘旅人,173797,9.0
弹力果冻,71064,8.7
太空杀,219923,7.0
江南百景图,179371,6.5
艾希,11190,9.7
荒野乱斗,156066,5.4
蛋仔派对,206776,7.5
上古王冠,204923,8.6
世界弹射物语,218693,8.9
魔镜物语,220640,8.3
爆炒江湖,60175,9.2
开心消消乐®,2321,9.2
2048清,200184,9.9
转生成为魔物,230525,9.3
只兔,207444,8.0
无悔华夏,176581,7.4
江湖悠悠,143664,7.4
哈利波特:魔法觉醒,177635,6.1
球球大作战,6239,7.0
机动战队大作战,7157,7.6
偶像梦幻祭2,183321,7.9
王牌竞速,190867,6.9
汉末霸业,65333,8.8
300大作战,56249,5.9
魂器学院,42949,8.5
冒险者的rogue之旅,231669,9.3
恋与制作人,55307,8.1
弈剑行,158750,8.9
诸神皇冠,147488,8.8
音乐世界 Cytus II,153415,9.1
暴走英雄坛,56782,6.6
部落冲突 (Clash of Clans),10497,7.1
人类跌落梦境,71417,7.8
扫雷经典版,196545,9.0
Orzmic,194778,8.8
英魂之刃,27311,5.6
勇者活下去（测试服）,235648,6.7
食物语,73024,6.9
辐射 避难所,33189,8.5
未知：升变,230720,8.3
崩坏学园2,7158,6.0
少女前线,10505,8.7
梦魇：无归,234878,9.1
傲剑苍穹,229517,9.2
修仙家族模拟器,226797,9.0
迷雾侦探,85109,9.7
一起来飞车2,174784,6.5
像素冒险世界,230100,8.5
奇葩战斗家,45981,8.3
少年的人间奇遇,185896,9.6
花亦山心之月,195161,6.7
像素射击 - Cops N Robbers,57178,7.8
游戏王：决斗链接,144533,6.3
剑与远征,137515,7.5
烟雨江湖,169054,7.7
动物夜市（测试服）,236271,8.0
迷途深渊,225011,8.8
天地劫：幽城再临,189028,7.3
无极仙途,186039,9.0
扫雷F,151528,9.1
邂逅在迷宫,67245,8.9
沙盒勇者,205430,9.7
明日之后,59520,6.8
幻塔,192675,5.8
梦想协奏曲！少女乐团派对！,67848,9.6
想不想修真,70215,8.1
这也能切,232918,9.2
纯白和弦,209448,6.8
妄想山海,178358,7.2
重建家园,159209,7.8
渡劫模拟器,232098,8.6
我的门派,203652,5.9
保卫萝卜3,7806,7.4
斗罗大陆：武魂觉醒,207186,7.9
奥拉星,84327,7.3
奇迹暖暖,6965,8.0
枪战特训2：激战,235420,7.6
逃离克里夫,224120,4.5
战魂铭人,176905,7.8
植物大战僵尸2,54031,6.6
古代战争,134346,8.8
热血街篮,151967,6.0
道友合成器,200746,8.9
时空召唤,33329,5.6
筑梦公馆,145665,6.7
影之诗,49858,8.9
暴走地下城,232400,9.3
无尽的拉格朗日,214603,5.8
逍遥客栈,224001,7.2
房东模拟器,211546,8.0
万象物语,14132,8.4
