name,id,stat
鸣潮,234280,9.0
绝区零,234493,8.7
时空猎人3,159547,6.5
永劫无间手游,229966,9.1
我们的星球,195103,8.4
暗区突围,221322,8.2
环形战争,184568,8.9
心动小镇,45213,9.2
崩坏：星穹铁道,224267,8.1
元气骑士新作,220156,9.0
纸嫁衣4,234922,9.9
魂,231156,9.5
重返未来：1999,221062,9.0
火炬之光：无限,172664,8.5
逆水寒,191385,8.6
明日方舟：终末地,232326,9.2
PuffPals: Island Skies,233809,9.3
霓虹深渊：无限,204894,9.6
无期迷途,198294,8.1
猫之城,187554,8.4
使命召唤：战争地带（Call of Duty®: Warzone™ ）,232298,9.2
璀璨之旅,234967,8.4
彩虹六号M,233287,6.1
野火流明,234505,6.7
跃迁旅人,210573,8.8
尘白禁区,222089,9.2
小小蚁国,223828,9.5
流浪方舟,200722,9.0
星际战甲Warframe手游,220317,9.5
奥比岛：梦想国度,88544,8.1
黎明前20分钟,235001,9.3
螺旋勇士,164440,9.1
代号：降临,219503,8.7
梦幻之城,222784,9.6
异侠传：道消魔长,216201,9.8
2089：边境,233558,8.8
来自星尘,223680,8.2
暗黑破坏神：不朽,146791,6.3
未定界,234921,9.0
幻境启源,204583,9.1
大多数,229494,7.8
幻灵师,229529,9.0
黑暗笔录,234935,9.9
代号·花神,236066,7.9
行界：重构,63844,8.9
保卫萝卜4,221932,7.9
怪兽星球2,235434,9.5
魔力宝贝：旅人,213737,7.7
铃兰之剑：为这和平的世界,209866,9.1
世界计划 缤纷舞台！feat. 初音未來,223265,9.0
逆光潜入,225621,8.6
ZOZ: Final Hour,234876,7.2
破烂水手,225254,8.5
魂之刃2,195928,8.3
新庄园时代,216183,9.0
幽灵事务所2：查利,232998,9.8
末日的第53天,230129,9.1
我亲爱的农场,234024,8.3
Desta: The Memories Between,236010,9.3
混沌效应,233514,9.4
搬家模拟器,226917,9.5
双生怨,221586,9.2
CoA,221380,9.0
Project 24/36,218492,8.8
Project M,221752,4.3
火环,224209,9.7
满庭芳·宋上繁华,225869,9.6
指尖领主,214962,7.9
代号：了不起的模拟器,207920,9.0
画中世界,219284,9.9
Ancient Stars,235737,7.4
代号：代号,222427,9.9
萌宠物语,236036,9.6
代号：双月,231006,9.3
战争公约,151168,8.2
DuDu,235043,9.8
二分之一,234965,8.7
逐鹿,228044,9.3
螺旋圆舞曲2蔷薇战争,225105,8.7
生死狙击2,229263,7.9
传说法师,219286,9.6
白荆回廊,220861,9.5
Draw & Guess（你画我猜）,223137,8.5
猫猫蛇MOMOS,227454,9.7
代号：红玄传,226776,9.7
代号：蝶,231573,9.7
我的网红女友：养成计划,235506,9.2
数码宝贝：源码,227603,8.8
觉醒异刃,219805,9.5
锚点降临,207018,8.5
暂时还没想好名字的肉鸽战棋,235508,9.5
少女前线2：追放,190930,8.1
0.64平方米的光都与你有关,234973,9.9
404禁区,229645,9.6
乌托邦之血,225545,9.7
欢迎来到梦乐园,227064,9.1
心渊梦境,220062,9.2
空蝉,235516,9.9
这城有点田,220673,9.2
像素世界岛-安体,231230,9.3
镜地,229656,9.5
宿命回响,219019,8.2
悠闲的小时光,230089,9.5
晚安森林,219067,9.7
萤火突击,223138,6.8
神仙道3,225255,8.2
爱与荒野,218866,9.5
ACE虚拟歌姬,189147,9.3
美食大乱斗,221492,8.4
迷宫探险家,233825,8.7
海岛世界,231837,9.2
寄心茶屋,231675,9.9
倾听画语: 最美好的景色,219638,9.8
无名江湖,235106,9.1
百分之一,78938,8.5
阴阳锅,235665,9.4
继承了一座戏园子,226531,9.6
筑梦幻想,233175,9.8
小生活,229552,9.6
Project:OVERKILL,221735,3.2
代号：山海经,227721,8.8
明末：渊虚之羽,223889,6.2
阿坎罗斯镇物语,236200,6.9
航海王：梦想指针,232846,8.3
灵魂摆渡人,228243,9.8
假未来Fake Future,233818,9.3
代号：Spark,232751,8.5
激战亚拉特,236160,9.0
临界指令,215578,9.0
泪水与晚安,231326,10
花雨旋律 DEEMO II,180183,9.0
异象回声,234968,8.7
再刷一把,233365,9.8
逆位时间,225846,9.8
汪汪露营会,235904,9.1
龙与勇士,235563,9.7
拼图小镇物语,227328,9.7
吸血鬼幸存者（Vampire Survivors）,231775,8.6
葫芦娃2,232584,8.7
代号A,234735,9.0
抽屉里的秘密,234769,9.5
Wild Arena Survivors,234770,7.3
咏月风雅,231830,8.3
像素电影制片厂,233882,8.6
献给迷宫的墓碑,234904,9.7
我的毕业日记,235437,9.6
奉天白事铺,224352,9.4
Orpheus（俄耳甫斯）,228645,9.9
代号：艾塔,221583,8.6
枕边故事,235173,9.9
