name,id,stat
Muse Dash 喵斯快跑,60809,9.2
泰拉瑞亚,194610,9.3
部落与弯刀,131263,8.7
艾希,11190,9.7
人类跌落梦境,71417,7.8
少年的人间奇遇,185896,9.6
音乐世界 Cytus II,153415,9.1
帕斯卡契约,133336,9.2
双子,13969,9.6
恶果之地,60936,8.7
笼中窥梦,177433,8.8
如果可以回家早一点,56508,9.3
逃脱者：困境突围（付费下载版）,155402,6.7
极速变色龙,6856,8.9
汉末霸业,65333,8.8
露西她所期望的一切,46826,9.6
厚厚的时光,166361,8.0
进化之地2,72313,8.2
一路,155978,9.4
说剑,9811,8.5
去月球,12547,9.6
异常,59622,9.6
法洛伊：幻境,186073,8.6
南瓜先生大冒险（付费版）,39836,8.4
迷失岛（付费畅玩版）,135162,8.8
极限烧脑之旅,14741,9.2
下一站江湖Ⅰ,157863,8.4
咪莫,203443,9.3
钢琴师,61141,8.5
纪念碑谷（付费版）,39850,9.6
怪物之家,140647,9.4
海姆达尔,33973,9.4
铸时匠,77811,8.9
英雄迷宫冒险,45072,8.5
未上锁的房间2(付费下载版）,72303,9.3
萌宝比特,172666,7.1
风起长安:驭骨人,189995,8.2
模拟地铁（付费下载版）,62747,8.2
非常英雄救世奇缘,73837,7.6
雨纪（付费畅玩版）,31047,9.1
冰钓大师,136830,6.9
涂鸦上帝：闪电,213192,5.5
迷失岛前传海边游乐园,166645,9.4
兰空VOEZ（付费下载版）,72314,7.8
织言辨语,67053,8.7
远方（付费下载版）,204960,8.9
钢铁战队,63428,6.8
全心爱你（付费下载版）,13930,9.4
符石守护者,14555,8.0
怪奇小店,141954,8.8
隐藏的家伙,39224,9.2
妙连千军,164334,7.5
无法触碰的掌心,70794,9.0
墨盘,46570,9.6
云端之约,168670,9.1
节奏快打,161628,7.3
如果一生只有三十岁,155623,8.4
电竞传奇,63121,6.4
南瓜先生2九龙城寨（付费下载版）,187393,9.4
手机帝国,73712,6.7
不可思议乐队Wonder Parade,60500,8.7
长安夜明,193584,8.8
蒙特祖玛3（付费版）,175456,7.2
雨城,58607,7.3
飞跃星球（付费下载版）,206969,6.5
灵魂之桥,43873,9.2
按钮之谜,43970,8.9
古镜记（付费下载版）,213901,8.0
白鸟游乐园,166643,6.8
迷失岛2：时间的灰烬（付费版）,134452,9.3
纸片少女（付费畅玩版）,135027,7.9
无名之辈,57173,6.0
