name,id,stat
Muse Dash 喵斯快跑,60809,9.2
部落与弯刀,131263,8.6
原神,168332,8.6
泰拉瑞亚,194610,9.3
Phigros,165287,9.7
王者荣耀,2301,5.7
香肠派对,58881,9.0
我的游戏天赋,223782,9.1
我的世界,43639,6.2
和平精英,70056,7.2
九重试炼,232820,8.0
枪战特训2：激战,235420,7.6
枪火重生,229870,8.0
太空杀,219923,7.0
光·遇,62448,7.6
元气骑士,34751,7.9
逍遥客栈,224001,7.6
重生细胞,171015,8.8
T3,205608,7.6
使命召唤手游,139301,7.9
一念逍遥,159465,7.0
派对之星,202514,7.7
英雄联盟手游,176911,8.0
金铲铲之战,176937,8.2
当代人生,228286,8.4
人工桌面,203129,8.6
第五人格,49995,7.9
我想成为创造者,144287,9.7
蛋仔派对,206776,7.5
明日方舟,70253,8.1
深空之眼,213181,8.5
墨斗,131453,7.8
艾希,11190,9.7
战双帕弥什,130651,8.6
魔镜物语,220640,8.3
王牌竞速,190867,6.9
浣熊不高兴,231197,8.0
梦魇：无归,234878,9.1
迷途深渊,225011,8.7
崩坏3,10056,6.4
超自然侦探社,222365,8.0
球球大作战,6239,7.0
武侠乂,152653,6.6
傲娇壁纸,228716,9.0
贪吃的苹果蛇,235797,6.4
植物大战僵尸2,54031,6.7
海底大猎杀,212054,4.8
逃跑吧！少年,99224,7.8
只兔,207444,8.0
傲剑苍穹,229517,9.2
火影忍者,2247,6.7
弈剑行,158750,8.9
转生哥布林杀穿异世界,236179,7.7
我的勇者,77796,6.3
斗罗大陆：魂师对决,211270,7.2
Orzmic,194778,8.8
荒野乱斗,156066,5.4
真实公路汽车2,223635,5.7
我的健身教练2,183434,8.9
虫鸣,224385,7.7
三国志幻想大陆,188743,8.0
幻塔,192675,5.8
天谕,91974,7.6
你了解自己吗,80109,8.3
决战！平安京,61620,6.3
辐射 避难所,33189,8.5
冒险之心（测试服）,224442,7.5
王牌战士,85108,8.0
迷雾侦探,85109,9.7
同步音律,6908,8.9
月圆之夜,58885,9.6
动物夜市（测试服）,236271,8.1
明日之后,59520,6.8
如果有一个按钮,235804,8.8
漫威超级战争,214159,6.3
QQ飞车,55618,7.2
穿越火线：枪战王者,2318,6.2
猫和老鼠,70882,6.5
航海王热血航线,195514,7.5
你已经猜到结局了吗,215953,9.2
修仙家族模拟器,226797,9.0
楼下的早餐店,193324,9.1
逃离克里夫,224120,4.5
胖鸭奶茶店,229247,8.5
最强蜗牛,187376,6.3
人类跌落梦境,71417,7.8
坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险,149161,8.4
房东模拟器,211546,8.0
转生成为魔物,230525,9.3
道友请留步,14461,8.7
梦幻新诛仙,175450,7.0
灵魂宝戒,176192,8.8
星空大陆,234939,7.7
鬼畜钢琴,186768,9.6
疯狂战场（测试服）,236211,8.4
纪念碑谷2,52276,8.7
雷电傲气雄鹰,61333,6.3
乐高®无限（共创测试版）,82246,7.4
地铁跑酷,4,7.3
非人学园,64403,7.4
灵魂潮汐,171371,8.3
房间的秘密,231220,9.4
觉醒大陆,226877,7.9
纸嫁衣3鸳鸯债,225975,9.6
炉石传说,213,6.3
音乐世界 Cytus II,153415,9.1
曙光英雄,151852,6.4
暗魔领主,197372,8.7
叫我大掌柜,195701,8.0
光与夜之恋,186316,6.9
一拳超人正义执行（测试服）,236423,5.1
猛鬼宿舍,227077,5.8
机动都市阿尔法,79661,7.3
无尽的拉格朗日,214603,5.8
王蓝莓的小卖部,233009,7.2
勇者活下去（测试服）,235648,6.8
魂器学院,42949,8.5
无悔华夏,176581,7.4
扫雷F,151528,9.1
失落城堡,67396,8.6
哈利波特:魔法觉醒,177635,6.1
阴阳师,12492,7.8
人生模拟器：中国式人生,180918,5.9
爸爸送儿子上学,216253,4.0
碧蓝航线,31597,9.4
斗罗大陆：武魂觉醒,207186,7.9
冒险日记,224007,9.0
狂野飙车9：竞速传奇,165536,6.3
异世界转生模拟器,223774,7.6
免费十连抽,234294,7.8
忍者必须死3,79068,5.9
开间小店,216696,7.2
口袋奇兵,203580,5.9
弹力果冻,71064,8.7
逗斗火柴人,151396,5.9
不一样传说,198967,9.1
僵尸世界战争：新世界,217393,5.9
精灵之境,150856,7.4
闪耀暖暖,84851,6.7
聚爆Implosion,6764,8.5
WAND,223601,8.4
自由人生模拟,232119,7.3
重建家园,159209,7.7
纸嫁衣,203666,9.2
荒野行动,66654,8.3
未知：升变,230720,8.3
少年的人间奇遇,185896,9.6
不一样的修仙宗门2,232480,8.4
暴走地下城,232400,9.3
世界弹射物语,218693,8.9
