name,id,stat
鸣潮,234280,9.0
绝区零,234493,8.7
永劫无间手游,229966,9.1
暗区突围,221322,8.3
时空猎人3,159547,6.5
心动小镇,45213,9.2
纸嫁衣4,234922,9.9
崩坏：星穹铁道,224267,8.1
环形战争,184568,8.9
重返未来：1999,221062,9.0
元气骑士新作,220156,9.0
逆水寒,191385,8.6
魂,231156,9.5
火炬之光：无限,172664,8.5
代号：降临,219503,8.7
霓虹深渊：无限,204894,9.6
PuffPals: Island Skies,233809,9.3
猫之城,187554,8.4
野火流明,234505,6.5
璀璨之旅,234967,8.6
明日方舟：终末地,232326,9.2
使命召唤：战争地带（Call of Duty®: Warzone™ ）,232298,9.2
异侠传：道消魔长,216201,9.8
无期迷途,198294,8.1
跃迁旅人,210573,8.8
尘白禁区,222089,9.2
流浪方舟,200722,9.0
梦幻之城,222784,9.6
彩虹六号M,233287,6.1
龙与世界的尽头,216195,7.9
黎明前20分钟,235001,9.3
暗黑破坏神：不朽,146791,6.3
螺旋勇士,164440,9.1
星际战甲Warframe手游,220317,9.5
2089：边境,233558,8.8
未定界,234921,9.0
小小蚁国,223828,9.6
奥比岛：梦想国度,88544,8.1
黑暗笔录,234935,9.9
来自星尘,223680,8.2
世界计划 缤纷舞台！feat. 初音未來,223265,9.0
ZOZ: Final Hour,234876,7.2
CoA,221380,9.0
代号·花神,236066,7.8
新庄园时代,216183,9.0
Desta: The Memories Between,236010,9.3
代号：代号,222427,9.9
大多数,229494,7.8
生死狙击2,229263,7.9
末日的第53天,230129,9.1
破烂水手,225254,8.5
魔力宝贝：旅人,213737,7.8
Project M,221752,4.3
魂之刃2,195928,8.2
搬家模拟器,226917,9.5
幻灵师,229529,8.9
阿坎罗斯镇物语,236200,7.1
幽灵事务所2：查利,232998,9.8
画中世界,219284,9.9
Project 24/36,218492,8.8
幻境启源,204583,9.2
DuDu,235043,9.8
假未来Fake Future,233818,9.3
二分之一,234965,8.7
萌宠物语,236036,9.6
传说法师,219286,9.6
混沌效应,233514,9.4
我亲爱的农场,234024,8.3
逆光潜入,225621,8.6
火环,224209,9.7
激战亚拉特,236160,9.1
行界：重构,63844,8.9
双生怨,221586,9.2
汪汪露营会,235904,9.1
晚安森林,219067,9.7
战争公约,151168,8.2
白荆回廊,220861,9.5
铃兰之剑：为这和平的世界,209866,9.1
Draw & Guess（你画我猜）,223137,8.5
逐鹿,228044,9.3
代号：蝶,231573,9.7
0.64平方米的光都与你有关,234973,9.9
空蝉,235516,9.9
无名江湖,235106,9.2
满庭芳·宋上繁华,225869,9.6
悠闲的小时光,230089,9.5
少女前线2：追放,190930,8.1
代号：双月,231006,9.3
螺旋圆舞曲2蔷薇战争,225105,8.7
镜地,229656,9.4
暂时还没想好名字的肉鸽战棋,235508,9.5
萤火突击,223138,6.8
再刷一把,233365,9.8
我的网红女友：养成计划,235506,9.2
这城有点田,220673,9.2
锚点降临,207018,8.5
Orpheus（俄耳甫斯）,228645,9.9
指尖领主,214962,7.7
Project:OVERKILL,221735,3.2
代号：了不起的模拟器,207920,9.0
猫猫蛇MOMOS,227454,9.7
寄心茶屋,231675,9.9
怪兽星球2,235434,9.5
神仙道3,225255,8.2
魔兽之旅,235503,8.8
像素世界岛-安体,231230,9.3
乌托邦之血,225545,9.7
404禁区,229645,9.5
混种战士,233718,8.2
女孩与海,235890,9.5
泪水与晚安,231326,10
继承了一座戏园子,226531,9.6
6栋301房,226968,9.5
抽屉里的秘密,234769,9.5
拼图小镇物语,227328,9.7
代号：红玄传,226776,9.7
花雨旋律 DEEMO II,180183,9.0
欢迎来到梦乐园,227064,9.1
ACE虚拟歌姬,189147,9.3
心渊梦境,220062,9.2
逆位时间,225846,9.8
宿命回响,219019,8.2
阴阳锅,235665,9.4
小生活,229552,9.6
代号：Spark,232751,8.5
灵魂摆渡人,228243,9.8
世上英雄,221889,9.9
奉天白事铺,224352,9.4
午夜狂欢,235561,9.7
明末：渊虚之羽,223889,6.2
枕边故事,235173,9.9
爱与荒野,218866,9.5
有间客栈,229742,9.7
倾听画语: 最美好的景色,219638,9.8
航海王：梦想指针,232846,8.2
海岛世界,231837,9.2
OPUS：龙脉常歌,229496,9.7
吸血鬼幸存者（Vampire Survivors）,231775,8.6
动物奇妙镇,232787,9.5
妖刀退魔忍,234843,8.7
Wild Arena Survivors,234770,7.3
代号：隐,235316,9.2
转生成勇者却成为海王,234868,9.1
筑梦幻想,233175,9.8
残花葬,227066,9.5
数码宝贝：源码,227603,8.8
觉醒异刃,219805,9.5
再见江湖,234302,7.9
我在异界的开挂人生,235654,9.3
代号：烛,228146,5.8
